SRR33750959.1103__1.1088	UniClust90_KIHGAKFE02898|1__16|SGB128778
SRR33750959.43523__1.42703	UniClust90_ENCMJEIO07065|1__19|SGB87004
SRR33750959.43552__1.42732	UniClust90_EOFGAKMC01069|1__12|SGB84075
SRR33750959.43905__1.43079	UniClust90_GHPINBAM01160|1__19|SGB84331
SRR33750959.44349__1.43513	UniClust90_EJAHAFID03224|1__13|SGB130007
SRR33750959.44543__1.43705	UniClust90_OPLEJCPF02044|4__15|SGB125949
SRR33750959.46120__1.45257	UniClust90_OECKFAOL00951|1__9|SGB89423
SRR33750959.46689__1.45811	UniClust90_EHKFGODG01515|1__7|SGB134112
SRR33750959.46583__1.45706	UniClust90_HMPPKHGP00588|2__5|SGB133091
SRR33750959.47869__1.46970	UniClust90_OPLEJCPF02168|1__9|SGB125949
SRR33750959.48487__1.47572	UniClust90_FOJGPGMP01495|1__5|SGB133334
SRR33750959.50527__1.49576	UniRef90_A0A2V5J1J9|1__15|SGB52720
SRR33750959.50861__1.49906	UniClust90_EJAHAFID01978|1__10|SGB130007
SRR33750959.52036__1.51072	UniClust90_IPFPHDNG02976|10__17|SGB131926
SRR33750959.52067__1.51103	UniClust90_BOKHIPMC05186|1__5|SGB130007
SRR33750959.52581__1.51607	UniClust90_FNPCGKEP00677|1__7|SGB84078
SRR33750959.53176__1.52185	UniClust90_LLIEHLNH00026|1__10|SGB130007
SRR33750959.53157__1.52167	UniClust90_DHFBAFBN00066|1__12|SGB133121
SRR33750959.54640__1.53617	UniClust90_FOJGPGMP01421|1__3|SGB133334
SRR33750959.56477__1.55419	UniClust90_NJEAKIIN02474|1__6|SGB125628
SRR33750959.57216__1.56142	UniClust90_LLEBNNCN05409|1__7|SGB130045
SRR33750959.57306__1.56230	UniClust90_DJBDGBNB02477|1__5|SGB89725
SRR33750959.58230__1.57140	UniClust90_CHLBPEBB00072|1__8|SGB89725
SRR33750959.58717__1.57609	UniRef90_A0A0R3N6G3|1__14|SGB11343
SRR33750959.59222__1.58104	UniClust90_CHLBPEBB02682|3__6|SGB89725
SRR33750959.59208__1.58090	UniClust90_JBMBCDML01564|1__9|SGB89725
SRR33750959.60017__1.58883	UniClust90_LEJLODHJ01330|2__5|SGB89423
SRR33750959.60658__1.59509	UniClust90_KIHGAKFE01855|1__23|SGB128778
SRR33750959.61475__1.60307	UniClust90_PIHLJOEE04725|1__8|SGB84075
SRR33750959.61329__1.60166	UniClust90_EMAEKJAG02289|1__13|SGB128987
SRR33750959.62954__1.61761	UniClust90_NHHHKJJE03728|1__12|SGB125949
SRR33750959.63828__1.62626	UniRef90_A0A357CG32|2__6|SGB89423
SRR33750959.64139__1.62929	UniClust90_JKONEDMA03796|1__5|SGB130007
SRR33750959.65097__1.63873	UniClust90_KMEALJDO00710|1__6|SGB84078
SRR33750959.65576__1.64348	UniClust90_JKONEDMA01352|1__12|SGB130007
SRR33750959.67664__1.66395	UniClust90_NHHHKJJE01409|1__11|SGB125949
SRR33750959.69867__1.68562	UniClust90_BKIEHKJF01055|1__6|SGB131913
SRR33750959.69868__1.68563	UniClust90_BKIEHKJF01055|1__6|SGB131913
SRR33750959.70331__1.69019	UniClust90_FNPCGKEP01518|1__7|SGB84078
SRR33750959.70306__1.68995	UniClust90_FNPCGKEP01518|1__7|SGB84078
SRR33750959.71019__1.69697	UniClust90_KIMNEABG03067|1__12|SGB131913
SRR33750959.71838__1.70501	UniClust90_PIJGIFJB00161|1__8|SGB89423
SRR33750959.72124__1.70784	UniClust90_JMFJJCJA01029|1__6|SGB130007
SRR33750959.72106__1.70766	UniClust90_JMFJJCJA01029|1__6|SGB130007
SRR33750959.72549__1.71199	UniClust90_MOPOFHCP03312|1__8|SGB89408
SRR33750959.73304__1.71942	UniClust90_DAODNPOA01419|1__5|SGB89725
SRR33750959.74417__1.73034	UniClust90_HGJNCPHJ03935|1__11|SGB125949
SRR33750959.74433__1.73050	UniClust90_KIMNEABG03302|1__11|SGB131913
SRR33750959.74445__1.73062	UniClust90_KIMNEABG03302|1__11|SGB131913
SRR33750959.74540__1.73156	UniClust90_KIMNEABG03302|1__11|SGB131913
SRR33750959.75437__1.74038	UniClust90_MEABCEIN01334|1__6|SGB84078
SRR33750959.77003__1.75573	UniClust90_PPJAIDOO03630|1__10|SGB84075
SRR33750959.76738__1.75311	UniClust90_EJAHAFID03501|1__5|SGB130007
SRR33750959.77699__1.76259	UniClust90_EHKFGODG00939|1__10|SGB134112
SRR33750959.78173__1.76726	UniRef90_UPI0003A94D88|10__19|SGB31966
SRR33750959.79492__1.78030	UniClust90_EDBNNBOB00318|1__5|SGB56640
SRR33750959.80461__1.78976	UniClust90_LCIBFGAE01469|1__15|SGB127159
SRR33750959.80671__1.79183	UniClust90_ACDABMLJ00871|1__7|SGB133090
SRR33750959.80986__1.79490	UniClust90_HFBMJLAL03883|1__10|SGB81147
SRR33750959.81716__1.80205	UniClust90_NOMIGGEC00941|1__20|SGB125949
SRR33750959.82188__1.80665	UniRef90_A0A1Q7BT39|1__6|SGB56640
SRR33750959.82587__1.81055	UniClust90_AOMEFECO01498|6__9|SGB133090
SRR33750959.82846__1.81312	UniClust90_PJKCPLGD01524|1__3|SGB89423
SRR33750959.86502__1.84907	UniRef90_A0A1Q7BY99|1__6|SGB56640
SRR33750959.87547__1.85941	UniClust90_ANDLCEDJ00060|1__8|SGB133091
SRR33750959.88454__1.86833	UniClust90_BHLGKCAN03135|1__14|SGB56640
SRR33750959.89108__1.87477	UniClust90_OCJAPFEA05159|1__13|SGB125949
SRR33750959.89138__1.87507	UniClust90_OCJAPFEA05159|1__13|SGB125949
SRR33750959.89246__1.87608	UniClust90_BGDHDLNA05938|1__15|SGB84075
SRR33750959.89951__1.88305	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750959.89773__1.88127	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750959.90273__1.88622	UniClust90_BOKHIPMC02055|1__16|SGB130007
SRR33750959.90510__1.88855	UniClust90_ENBABIAF01346|1__13|SGB128778
SRR33750959.90564__1.88909	UniClust90_JCMEFMGF03612|1__6|SGB74780
SRR33750959.90947__1.89286	UniClust90_IDPAEINK02538|1__6|SGB89725
SRR33750959.91229__1.89564	UniRef90_A0A2V5KKA7|3__6|SGB52730
SRR33750959.91696__1.90025	UniClust90_HOPPLHLN02273|1__7|SGB128471
SRR33750959.92588__1.90898	UniRef90_A0A1Q7BHH1|1__10|SGB56640
SRR33750959.92651__1.90958	UniClust90_ALADKHLP00123|1__7|SGB89423
SRR33750959.93131__1.91430	UniRef90_A0A2V5KKA7|3__6|SGB52730
SRR33750959.93425__1.91720	UniClust90_MKNNHAML03493|1__6|SGB56638
SRR33750959.94673__1.92946	UniClust90_PEMFFBNE00295|1__5|SGB74789
SRR33750959.94936__1.93206	UniRef90_A0A1Q7BFX1|3__9|SGB56640
SRR33750959.94966__1.93236	UniClust90_PIHLJOEE02563|1__7|SGB84075
SRR33750959.95112__1.93379	UniRef90_A0A1Q7BFX1|3__9|SGB56640
SRR33750959.95274__1.93540	UniClust90_NHHHKJJE00017|1__10|SGB125949
SRR33750959.95651__1.93913	UniClust90_GANILFCG00385|1__7|SGB74789
SRR33750959.96722__1.94961	UniRef90_A0A2V5LNL5|1__3|SGB52720
SRR33750959.96524__1.94768	UniClust90_DIBLBONP00722|1__4|SGB84078
SRR33750959.97740__1.95965	UniClust90_IOFPBIHC02803|1__9|SGB130007
SRR33750959.97455__1.95684	UniClust90_IOFPBIHC02803|1__9|SGB130007
SRR33750959.97695__1.95921	UniClust90_IOFPBIHC02803|1__9|SGB130007
SRR33750959.98167__1.96386	UniClust90_MEABCEIN01411|1__6|SGB84078
SRR33750959.99514__1.97714	UniRef90_A0A2V5M5A1|1__20|SGB52717
SRR33750959.99900__1.98094	UniClust90_DPJLILCC01931|1__5|SGB89725
SRR33750959.100394__1.98582	UniClust90_OCJAPFEA00140|1__12|SGB125949
SRR33750959.101298__1.99475	UniRef90_A0A1Q7BHH1|1__10|SGB56640
SRR33750959.102155__1.100320	UniRef90_A0A2V6CE93|2__5|SGB52714
SRR33750959.103136__1.101287	UniClust90_KIHGAKFE01694|1__13|SGB128778
SRR33750959.104868__1.102995	UniRef90_A0A2V5TJZ1|1__7|SGB52719
SRR33750959.105103__1.103229	UniClust90_OCJAPFEA02165|1__9|SGB125949
SRR33750959.106043__1.104158	UniRef90_A0A440EHT3|1__11|SGB32208
SRR33750959.106139__1.104254	UniClust90_DMCDKPDB00905|1__7|SGB89423
SRR33750959.106073__1.104188	UniRef90_A0A440EHT3|1__11|SGB32208
SRR33750959.106097__1.104212	UniRef90_A0A440EHT3|1__11|SGB32208
SRR33750959.106714__1.104814	UniClust90_EJAHAFID00868|1__5|SGB130007
SRR33750959.106724__1.104824	UniClust90_ANDLCEDJ01083|1__3|SGB133091
SRR33750959.106818__1.104918	UniClust90_IMMCPGKG02094|1__14|SGB128778
SRR33750959.107107__1.105201	UniClust90_PIJGIFJB00161|1__8|SGB89423
SRR33750959.107048__1.105144	UniClust90_PIJGIFJB00161|1__8|SGB89423
SRR33750959.106833__1.104933	UniClust90_BHLGKCAN03126|1__6|SGB56640
SRR33750959.107363__1.105453	UniClust90_NOMIGGEC00982|1__10|SGB125949
SRR33750959.107726__1.105809	UniClust90_HGJNCPHJ00274|5__12|SGB125949
SRR33750959.108814__1.106882	UniClust90_OCJAPFEA04909|1__14|SGB125949
SRR33750959.108357__1.106429	UniClust90_HGJNCPHJ03935|1__11|SGB125949
SRR33750959.109870__1.107921	UniClust90_DPLIHBNC01543|1__15|SGB89725
SRR33750959.111022__1.109054	UniClust90_DPLIHBNC01543|1__15|SGB89725
SRR33750959.111617__1.109643	UniClust90_IPBGJNGD00190|1__7|SGB89408
SRR33750959.111618__1.109644	UniClust90_IPBGJNGD00190|1__7|SGB89408
SRR33750959.111724__1.109748	UniClust90_GIDCBJMF01394|1__4|SGB134112
SRR33750959.112033__1.110055	UniClust90_LEJLODHJ01330|2__5|SGB89423
SRR33750959.115537__1.113522	UniClust90_FNPCGKEP01518|1__7|SGB84078
SRR33750959.116024__1.114003	UniClust90_FNPCGKEP01518|1__7|SGB84078
SRR33750959.116068__1.114047	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750959.116542__1.114514	UniClust90_DPLIHBNC00540|1__6|SGB89725
SRR33750959.117481__1.115437	UniClust90_AKHDHLEL06902|1__9|SGB206450
SRR33750959.117927__1.115881	UniClust90_JKONEDMA00373|1__6|SGB130007
SRR33750959.118419__1.116368	UniClust90_AKHDHLEL06902|1__9|SGB206450
SRR33750959.119023__1.116964	UniClust90_EJAHAFID01881|1__7|SGB130007
SRR33750959.119774__1.117703	UniClust90_BOKHIPMC03426|1__8|SGB130007
SRR33750959.120513__1.118433	UniClust90_IAFJOFII00595|1__14|SGB134112
SRR33750959.123282__1.121158	UniRef90_A0A1Q7B4L6|1__6|SGB56640
SRR33750959.124950__1.122797	UniClust90_DPLIHBNC01353|1__10|SGB89725
SRR33750959.127090__1.124909	UniRef90_A0A2V6CSK9|1__9|SGB22169
SRR33750959.127349__1.125164	UniClust90_IOFPBIHC00363|1__8|SGB130007
SRR33750959.127414__1.125228	UniClust90_IOFPBIHC00603|1__6|SGB130007
SRR33750959.127421__1.125234	UniClust90_CKDECKMG02887|1__7|SGB133121
SRR33750959.127658__1.125464	UniClust90_JBKDJFMD03277|1__17|SGB62198
SRR33750959.127607__1.125413	UniClust90_JOMGGAEL00209|5__9|SGB74789
SRR33750959.128931__1.126714	UniClust90_KIMNEABG02224|1__6|SGB131913
SRR33750959.130700__1.128456	UniClust90_CANGFCMM01342|1__4|SGB122683
SRR33750959.131331__1.129080	UniClust90_NOMIGGEC00979|1__9|SGB125949
SRR33750959.132242__1.129978	UniClust90_PLNJEBMN01421|1__9|SGB133091
SRR33750959.132273__1.130009	UniRef90_A0A3M2KUH0|1__21|SGB33959
SRR33750959.132734__1.130463	UniClust90_DAODNPOA01190|1__12|SGB89725
SRR33750959.133300__1.131021	UniClust90_BKEMCFBC03859|1__10|SGB131913
SRR33750959.133769__1.131484	UniClust90_NNEGPIJI01330|1__9|SGB127159
SRR33750959.133745__1.131461	UniClust90_NNEGPIJI01330|1__9|SGB127159
SRR33750959.134424__1.132131	UniRef90_A0A0Q7TLA0|1__9|SGB89408
SRR33750959.134907__1.132609	UniClust90_NIILFFCI01616|1__5|SGB89423
SRR33750959.135168__1.132864	UniClust90_DCJCBMEC01997|1__5|SGB122526
SRR33750959.135306__1.133001	UniClust90_IOFPBIHC01165|1__8|SGB130007
SRR33750959.134899__1.132601	UniClust90_NIILFFCI01616|1__5|SGB89423
SRR33750959.136226__1.133909	UniRef90_A0A1A0PYG8|2__10|SGB175766
SRR33750959.135741__1.133432	UniClust90_OJFAJFEC01728|1__3|SGB89423
SRR33750959.136710__1.134389	UniClust90_MDGCCGDH00516|1__6|SGB56640
SRR33750959.137167__1.134842	UniClust90_OJFAJFEC01728|1__3|SGB89423
SRR33750959.138839__1.136485	UniClust90_OPLEJCPF05522|1__14|SGB125949
SRR33750959.139954__1.137581	UniClust90_HKBIJJBK04307|1__14|SGB110990
SRR33750959.141503__1.139109	UniClust90_LLIEHLNH02657|1__8|SGB130007
SRR33750959.142270__1.139867	UniClust90_EJAHAFID00878|1__7|SGB130007
SRR33750959.142236__1.139834	UniClust90_FECOCFCC03111|1__10|SGB128987
SRR33750959.143131__1.140712	UniClust90_DEHNPGMG01644|1__4|SGB89423
SRR33750959.143226__1.140806	UniClust90_LJMOGHMP02107|1__7|SGB128778
SRR33750959.144481__1.142045	UniClust90_OJGLOKOM00750|1__5|SGB84075
SRR33750959.146058__1.143598	UniClust90_JEOCIIHF01071|1__5|SGB89423
SRR33750959.146720__1.144247	UniClust90_JEOCIIHF01071|1__5|SGB89423
SRR33750959.147455__1.144972	UniClust90_EKCLMAKM04922|1__8|SGB89408
SRR33750959.148081__1.145592	UniClust90_OJGLOKOM00756|1__6|SGB84075
SRR33750959.149045__1.146544	UniClust90_DPLIHBNC01350|1__9|SGB89725
SRR33750959.150569__1.148044	UniRef90_UPI001008CF79|1__8|SGB31976
SRR33750959.153288__1.150729	UniClust90_KDDPKKIL00747|1__8|SGB128471
SRR33750959.154033__1.151467	UniClust90_HKBIJJBK03351|1__19|SGB110990
SRR33750959.154475__1.151905	UniClust90_DIBLBONP01365|5__8|SGB84078
SRR33750959.156205__1.153609	UniRef90_A0A2V5RP98|1__5|SGB52730
SRR33750959.156321__1.153722	UniClust90_PPJAIDOO02958|1__8|SGB84075
SRR33750959.156632__1.154027	UniRef90_A0A2V6DKK7|1__15|SGB22169
SRR33750959.157085__1.154475	UniClust90_JEOCIIHF01071|1__5|SGB89423
SRR33750959.157177__1.154567	UniClust90_JHHAJKKH04778|1__20|SGB154096
SRR33750959.157865__1.155248	UniClust90_CMHDMJOM03219|1__5|SGB56640
SRR33750959.159991__1.157343	UniClust90_PLCDHMLO03201|1__14|SGB134782
SRR33750959.160317__1.157662	UniClust90_DLOKBJPP01301|1__7|SGB131913
SRR33750959.160395__1.157740	UniClust90_CHMIEHDJ02211|1__6|SGB56640
SRR33750959.161863__1.159189	UniClust90_NOMIGGEC00722|1__16|SGB125949
SRR33750959.162508__1.159824	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750959.162518__1.159834	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750959.163204__1.160510	UniClust90_BGMDAEJF00944|8__19|SGB122526
SRR33750959.164368__1.161657	UniClust90_MIKKNBHN00494|1__17|SGB130188
SRR33750959.164656__1.161942	UniClust90_CKOCNOFC00167|1__4|SGB89423
SRR33750959.165167__1.162442	UniClust90_NOMIGGEC01921|1__15|SGB125949
SRR33750959.166340__1.163596	UniClust90_OPLEJCPF00147|1__22|SGB125949
SRR33750959.166528__1.163782	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750959.166477__1.163731	UniClust90_HGFAJEHE00303|1__18|SGB124410
SRR33750959.167190__1.164434	UniClust90_FNPCGKEP00329|1__5|SGB84078
SRR33750959.168058__1.165284	UniClust90_CMJGEBLA03352|1__10|SGB89408
SRR33750959.169715__1.166918	UniClust90_MEABCEIN01304|1__9|SGB84078
SRR33750959.169854__1.167056	UniClust90_LABAAPIE00372|1__7|SGB132245
SRR33750959.169950__1.167152	UniClust90_MEABCEIN00375|1__5|SGB84078
SRR33750959.169962__1.167164	UniClust90_MEABCEIN00375|1__5|SGB84078
SRR33750959.171033__1.168218	UniClust90_JBMBCDML00329|1__5|SGB89725
SRR33750959.172591__1.169752	UniClust90_EDNFDLAG00956|1__10|SGB84078
SRR33750959.173927__1.171060	UniClust90_OJFAJFEC01694|1__6|SGB89423
SRR33750959.173791__1.170925	UniClust90_IGKPANEM01291|1__21|SGB128987
SRR33750959.175213__1.172325	UniClust90_OALLKAFI02488|1__3|SGB84078
SRR33750959.176449__1.173543	UniClust90_CHMIEHDJ00800|1__7|SGB56640
SRR33750959.176654__1.173742	UniClust90_EDNFDLAG00956|1__10|SGB84078
SRR33750959.176895__1.173982	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750959.177244__1.174324	UniClust90_NOMIGGEC01820|1__15|SGB125949
SRR33750959.178171__1.175238	UniClust90_JHNMEHIJ02294|1__7|SGB56640
SRR33750959.178706__1.175765	UniClust90_FNPCGKEP04824|1__7|SGB84078
SRR33750959.178752__1.175811	UniRef90_A0A2V6H870|2__7|SGB52717
SRR33750959.178873__1.175929	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750959.178883__1.175939	UniClust90_JGBJHCMO01786|1__5|SGB133354
SRR33750959.179162__1.176216	UniClust90_JGBJHCMO01786|1__5|SGB133354
SRR33750959.179333__1.176385	UniClust90_NNOGEMDJ02447|1__10|SGB128987
SRR33750959.179998__1.177037	UniClust90_DJBDGBNB02806|1__5|SGB89725
SRR33750959.180481__1.177512	UniClust90_PEMFFBNE00474|1__6|SGB74789
SRR33750959.181297__1.178316	UniClust90_ANKLIGBF00344|1__5|SGB133334
SRR33750959.181611__1.178627	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750959.182441__1.179437	UniClust90_LMGOGHNA02110|1__7|SGB74789
SRR33750959.183659__1.180642	UniClust90_HGJNCPHJ01223|1__14|SGB125949
SRR33750959.183796__1.180779	UniClust90_BOKHIPMC02909|1__7|SGB130007
SRR33750959.184194__1.181169	UniClust90_GJEIHIOJ01051|9__15|SGB122526
SRR33750959.185218__1.182178	UniClust90_NHHHKJJE00160|1__13|SGB125949
SRR33750959.185208__1.182168	UniClust90_BGMDAEJF02420|1__11|SGB122526
SRR33750959.185703__1.182655	UniClust90_DPJLILCC00136|1__18|SGB89725
SRR33750959.185887__1.182838	UniRef90_A0A2V8H1W6|1__20|SGB17587
SRR33750959.186680__1.183625	UniClust90_PKMOJOJK03472|1__9|SGB84078
SRR33750959.187156__1.184095	UniClust90_AECFDIJM00600|1__8|SGB56104
SRR33750959.187382__1.184320	UniRef90_A0A2V5RC35|1__3|SGB52719
SRR33750959.187732__1.184659	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750959.188084__1.185006	UniClust90_OPOPMBLP06097|2__10|SGB94062
SRR33750959.189555__1.186451	UniClust90_JMFJJCJA02353|1__8|SGB130007
SRR33750959.189443__1.186342	UniClust90_GFFNGEKC01386|1__5|SGB56640
SRR33750959.190594__1.187478	UniClust90_NHHHKJJE02677|1__11|SGB125949
SRR33750959.190767__1.187648	UniClust90_CJEFPEDF00867|1__7|SGB129711
SRR33750959.191229__1.188103	UniClust90_NECMKPAF04939|1__10|SGB89408
SRR33750959.191312__1.188186	UniClust90_HNBLJKFC00008|1__9|SGB128778
SRR33750959.191843__1.188712	UniClust90_KJKOKMFD00755|1__4|SGB74789
SRR33750959.192061__1.188927	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750959.192543__1.189399	UniClust90_PLNJEBMN01430|1__6|SGB133091
SRR33750959.192732__1.189587	UniRef90_A0A1B9YWI4|1__13|SGB11348
SRR33750959.193509__1.190352	UniRef90_A0A2V5J5S5|1__5|SGB52720
SRR33750959.194099__1.190936	UniClust90_IOFPBIHC03176|1__8|SGB130007
SRR33750959.195847__1.192666	UniClust90_IJKGCFNK01917|1__16|SGB131808
SRR33750959.196151__1.192969	UniRef90_A0A317JS48|5__13|SGB23743
SRR33750959.196111__1.192929	UniClust90_KPGCMLFP02027|2__11|SGB89408
SRR33750959.196458__1.193272	UniClust90_CHMIEHDJ04510|1__7|SGB56640
SRR33750959.197660__1.194462	UniClust90_HGAMACDH01319|1__8|SGB128778
SRR33750959.198070__1.194866	UniClust90_JCMEFMGF01050|1__9|SGB74780
SRR33750959.198436__1.195229	UniClust90_AMDOLPBA01414|1__10|SGB73712
SRR33750959.199669__1.196450	UniClust90_EAKADGJF00603|1__7|SGB131926
SRR33750959.200021__1.196793	UniRef90_A0A2V8KDW3|4__8|SGB17587
SRR33750959.200119__1.196891	UniClust90_CHMIEHDJ01175|1__8|SGB56640
SRR33750959.200390__1.197158	UniClust90_KIMNEABG01316|1__7|SGB131913
SRR33750959.201529__1.198285	UniClust90_HGAMACDH01313|1__12|SGB128778
SRR33750959.201531__1.198287	UniClust90_HGAMACDH01313|1__12|SGB128778
SRR33750959.201532__1.198288	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750959.201412__1.198168	UniRef90_A0A2V5QC16|1__7|SGB52719
SRR33750959.201634__1.198388	UniRef90_A0A2V5TCR2|1__14|SGB52719
SRR33750959.203593__1.200328	UniClust90_EHFFKAJJ00620|1__10|SGB74780
SRR33750959.204978__1.201693	UniRef90_A0A1Q7BY99|1__6|SGB56640
SRR33750959.206146__1.202843	UniClust90_BGDHDLNA04274|1__17|SGB84075
SRR33750959.206263__1.202957	UniClust90_BGDHDLNA04274|1__17|SGB84075
SRR33750959.207159__1.203838	UniClust90_EJAHAFID00031|1__8|SGB130007
SRR33750959.208103__1.204768	UniClust90_NECMKPAF01238|1__9|SGB89408
SRR33750959.208287__1.204951	UniClust90_NOMIGGEC02686|1__9|SGB125949
SRR33750959.208800__1.205457	UniClust90_NOMIGGEC02686|1__9|SGB125949
SRR33750959.208761__1.205419	UniClust90_NOMIGGEC02686|1__9|SGB125949
SRR33750959.210512__1.207158	UniClust90_NECMKPAF01238|1__9|SGB89408
SRR33750959.212048__1.208680	UniClust90_CMHDMJOM03219|1__5|SGB56640
SRR33750959.212762__1.209382	UniClust90_PKNCJFOJ02657|16__22|SGB56640
SRR33750959.214735__1.211327	UniRef90_A0A3D5E167|5__9|SGB130007
SRR33750959.214833__1.211422	UniClust90_BGDHDLNA00875|1__6|SGB84075
SRR33750959.215352__1.211935	UniClust90_EJAHAFID02780|1__7|SGB130007
SRR33750959.215397__1.211980	UniClust90_DLOKBJPP00081|1__8|SGB131913
SRR33750959.215652__1.212233	UniRef90_A0A1Q7BGW6|1__5|SGB56640
SRR33750959.216206__1.212776	UniRef90_A0A2V5Q8F3|1__11|SGB52719
SRR33750959.218452__1.214998	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750959.219735__1.216274	UniClust90_KMEALJDO01923|1__7|SGB84078
SRR33750959.219962__1.216499	UniClust90_EJFOFLBH00361|1__6|SGB133091
SRR33750959.220006__1.216543	UniClust90_JOBGHFKE01805|1__13|SGB128677
