SRR33750937.876__1.866	UniRef90_A0A1Q7B3L9|1__5|SGB56640
SRR33750937.75827__1.74569	UniClust90_HGJNCPHJ00708|1__9|SGB125949
SRR33750937.75924__1.74666	UniClust90_HGJNCPHJ00708|1__9|SGB125949
SRR33750937.77043__1.75767	UniClust90_CMHDMJOM02009|1__7|SGB56640
SRR33750937.77549__1.76266	UniRef90_UPI0010AB79BC|1__16|SGB49130
SRR33750937.77700__1.76417	UniClust90_ALADKHLP00123|1__7|SGB89423
SRR33750937.77870__1.76587	UniClust90_BKMLPNMA00308|1__12|SGB89423
SRR33750937.78058__1.76770	UniClust90_AHMCBMKF01403|1__6|SGB89423
SRR33750937.80221__1.78899	UniClust90_BGDHDLNA07467|1__10|SGB84075
SRR33750937.83019__1.81660	UniClust90_GEHFPKBH01024|1__8|SGB84075
SRR33750937.82735__1.81380	UniClust90_NHHHKJJE02731|1__12|SGB125949
SRR33750937.83544__1.82177	UniClust90_CKAHGCJD01011|7__13|SGB89423
SRR33750937.83962__1.82592	UniClust90_GJBLDLDM02015|1__6|SGB89423
SRR33750937.84025__1.82653	UniClust90_ACDABMLJ00265|8__13|SGB133090
SRR33750937.84027__1.82655	UniClust90_ACDABMLJ00265|8__13|SGB133090
SRR33750937.86251__1.84846	UniClust90_PKNCJFOJ04636|1__9|SGB56640
SRR33750937.87003__1.85590	UniClust90_LLIEHLNH01494|1__6|SGB130007
SRR33750937.88019__1.86587	UniClust90_IBNNDEFK04689|1__7|SGB89408
SRR33750937.88028__1.86595	UniClust90_GFFNGEKC01386|1__5|SGB56640
SRR33750937.88354__1.86921	UniClust90_LLIEHLNH00245|1__5|SGB130007
SRR33750937.89248__1.87802	UniClust90_GFFNGEKC01386|1__5|SGB56640
SRR33750937.90155__1.88698	UniClust90_CHLBPEBB02122|1__15|SGB89725
SRR33750937.90728__1.89266	UniClust90_OPLEJCPF02167|1__8|SGB125949
SRR33750937.91029__1.89565	UniClust90_OCJAPFEA05725|1__11|SGB125949
SRR33750937.93128__1.91625	UniClust90_PPDCKKGL00883|5__8|SGB133090
SRR33750937.94124__1.92597	UniClust90_CMHDMJOM04085|1__6|SGB56640
SRR33750937.94236__1.92706	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750937.94843__1.93307	UniClust90_DIBLBONP01702|3__13|SGB84078
SRR33750937.96678__1.95115	UniClust90_IOFPBIHC00612|1__5|SGB130007
SRR33750937.97626__1.96049	UniClust90_EJAHAFID01095|1__8|SGB130007
SRR33750937.97634__1.96057	UniRef90_A0A176YZZ0|7__14|SGB11302
SRR33750937.98409__1.96822	UniClust90_NIILFFCI00215|1__4|SGB89423
SRR33750937.98915__1.97319	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750937.99045__1.97446	UniRef90_A0A1Q7B9Y6|2__6|SGB56640
SRR33750937.99504__1.97898	UniClust90_LLIEHLNH03555|1__6|SGB130007
SRR33750937.100209__1.98594	UniClust90_LLIEHLNH02657|1__8|SGB130007
SRR33750937.100415__1.98794	UniClust90_PIHLJOEE01054|1__7|SGB84075
SRR33750937.102430__1.100778	UniClust90_JMFJJCJA04630|1__13|SGB130007
SRR33750937.102745__1.101088	UniRef90_A0A1Q8BB53|1__8|SGB17587
SRR33750937.105690__1.103983	UniClust90_GJBLDLDM02199|1__6|SGB89423
SRR33750937.105555__1.103852	UniRef90_A0A2V5MPW6|5__9|SGB52717
SRR33750937.105855__1.104147	UniClust90_OCJAPFEA05159|1__13|SGB125949
SRR33750937.106219__1.104504	UniClust90_DGMPEIBL00230|1__10|SGB55435
SRR33750937.107348__1.105613	UniClust90_IPBGJNGD03523|2__10|SGB89408
SRR33750937.110297__1.108527	UniClust90_GEHFPKBH00024|1__14|SGB84075
SRR33750937.111419__1.109631	UniClust90_KPGCMLFP00529|4__21|SGB89408
SRR33750937.111496__1.109708	UniClust90_IOFPBIHC03176|1__8|SGB130007
SRR33750937.111810__1.110015	UniClust90_EJAHAFID02835|1__6|SGB130007
SRR33750937.112245__1.110444	UniClust90_CJJELLGD00561|1__9|SGB84331
SRR33750937.112963__1.111151	UniClust90_JKONEDMA00794|1__6|SGB130007
SRR33750937.112997__1.111184	UniClust90_JKONEDMA00794|1__6|SGB130007
SRR33750937.115363__1.113513	UniClust90_HGJNCPHJ04065|1__12|SGB125949
SRR33750937.116001__1.114142	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750937.116023__1.114164	UniClust90_BJFHLDNO01685|1__11|SGB124485
SRR33750937.118607__1.116714	UniClust90_EKCLMAKM02393|1__10|SGB89408
SRR33750937.120934__1.119008	UniClust90_FNPCGKEP04478|1__6|SGB84078
SRR33750937.121145__1.119216	UniClust90_GIMAHFHH05060|1__10|SGB89408
SRR33750937.122279__1.120325	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.122966__1.121007	UniClust90_PPJAIDOO03630|1__10|SGB84075
SRR33750937.124532__1.122555	UniRef90_A0A2V8KNS8|1__11|SGB17587
SRR33750937.124062__1.122091	UniClust90_LACEKAON00974|1__10|SGB129874
SRR33750937.123978__1.122007	UniClust90_LACEKAON00974|1__10|SGB129874
SRR33750937.125584__1.123600	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.125698__1.123713	UniClust90_LDOGOBHG00949|1__10|SGB125634
SRR33750937.126967__1.124965	UniClust90_KMEALJDO00961|1__7|SGB84078
SRR33750937.127040__1.125038	UniClust90_ENBABIAF01763|1__10|SGB128778
SRR33750937.127360__1.125353	UniClust90_EJAHAFID03661|1__11|SGB130007
SRR33750937.128307__1.126284	UniClust90_NOMIGGEC00176|1__12|SGB125949
SRR33750937.128932__1.126899	UniClust90_BLCHLCBI01362|4__7|SGB133090
SRR33750937.130836__1.128778	UniRef90_A0A2V8GUA8|1__7|SGB17587
SRR33750937.130915__1.128856	UniClust90_CMHDMJOM04887|1__5|SGB56640
SRR33750937.131163__1.129101	UniClust90_OJFAJFEC00252|1__6|SGB89423
SRR33750937.132439__1.130368	UniRef90_A0A1Q7B5P0|1__4|SGB56640
SRR33750937.132449__1.130378	UniClust90_EOFGAKMC01466|1__13|SGB84075
SRR33750937.132413__1.130342	UniClust90_GFHGLNMO01320|1__11|SGB133091
SRR33750937.132486__1.130414	UniClust90_OHEAIOAE01092|1__15|SGB82160
SRR33750937.132522__1.130450	UniClust90_OCJAPFEA05578|1__10|SGB125949
SRR33750937.133033__1.130955	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.133123__1.131041	UniRef90_A0A2B1SKE7|1__9|SGB124485
SRR33750937.133407__1.131324	UniClust90_BKBOPKNC00534|2__11|SGB128899
SRR33750937.133875__1.131786	UniClust90_ENBABIAF00927|1__8|SGB128778
SRR33750937.135681__1.133567	UniClust90_FBONFJIL05970|1__13|SGB87177
SRR33750937.135840__1.133722	UniClust90_CBEOFBIN00299|1__8|SGB55930
SRR33750937.136592__1.134464	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750937.140609__1.138435	UniClust90_IOFPBIHC02652|1__5|SGB130007
SRR33750937.140919__1.138741	UniClust90_JKBPNPFG03600|1__28|SGB109892
SRR33750937.140935__1.138757	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750937.141370__1.139189	UniClust90_OJGLOKOM02567|1__10|SGB84075
SRR33750937.140993__1.138814	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750937.142016__1.139824	UniClust90_IJHKGIGD01415|1__8|SGB128471
SRR33750937.142364__1.140166	UniClust90_IOFPBIHC00603|1__6|SGB130007
SRR33750937.143115__1.140907	UniClust90_LACEKAON03164|1__10|SGB129874
SRR33750937.142825__1.140620	UniClust90_PEODAMJP01493|1__10|SGB128471
SRR33750937.143626__1.141411	UniClust90_BOKHIPMC02522|6__11|SGB130007
SRR33750937.144169__1.141946	UniClust90_EDNFDLAG00889|1__6|SGB84078
SRR33750937.144213__1.141989	UniRef90_A0A1Q7B350|6__9|SGB133334
SRR33750937.144312__1.142086	UniClust90_ODALAGMH01641|1__9|SGB89423
SRR33750937.144984__1.142753	UniRef90_UPI00068B9FFB|1__14|SGB34405
SRR33750937.145030__1.142799	UniClust90_FNPCGKEP02384|1__7|SGB84078
SRR33750937.148185__1.145908	UniRef90_A0A2V8JM27|1__8|SGB17587
SRR33750937.148295__1.146017	UniClust90_EDFLJBLB04590|1__6|SGB130045
SRR33750937.148925__1.146642	UniClust90_PMFDADHG01575|1__9|SGB131987
SRR33750937.149800__1.147509	UniClust90_EJAHAFID02073|1__7|SGB130007
SRR33750937.150254__1.147953	UniClust90_ELKMOIOH00462|1__6|SGB122683
SRR33750937.150257__1.147956	UniClust90_NMMIMHEL01664|1__4|SGB122683
SRR33750937.152327__1.150009	UniClust90_BOKHIPMC04224|1__5|SGB130007
SRR33750937.153942__1.151604	UniClust90_OEKPEMHO03957|1__11|SGB129874
SRR33750937.155134__1.152783	UniRef90_A0A2V6GZF1|1__3|SGB52714
SRR33750937.155360__1.153007	UniClust90_FNPCGKEP04824|1__7|SGB84078
SRR33750937.155504__1.153150	UniClust90_DOGEEKIC00400|1__7|SGB133354
SRR33750937.154902__1.152553	UniClust90_BOKHIPMC02422|1__5|SGB130007
SRR33750937.160828__1.158408	UniClust90_EDDDEINJ00436|1__6|SGB89423
SRR33750937.160799__1.158380	UniClust90_EDDDEINJ00436|1__6|SGB89423
SRR33750937.162439__1.160002	UniClust90_OJFFJDAM00771|1__5|SGB89423
SRR33750937.162647__1.160206	UniRef90_A0A1Q7BHH1|1__10|SGB56640
SRR33750937.162813__1.160372	UniClust90_ANKLIGBF00061|4__9|SGB133334
SRR33750937.163024__1.160580	UniRef90_A0A3D5DS77|2__6|SGB130007
SRR33750937.164189__1.161727	UniClust90_OCJAPFEA02165|1__9|SGB125949
SRR33750937.164283__1.161820	UniClust90_DJBDGBNB01296|2__5|SGB89725
SRR33750937.164775__1.162309	UniClust90_NOMIGGEC01493|1__17|SGB125949
SRR33750937.165616__1.163138	UniClust90_OCJAPFEA02165|1__9|SGB125949
SRR33750937.167088__1.164588	UniClust90_HOPPLHLN00150|1__9|SGB128471
SRR33750937.167853__1.165340	UniRef90_A0A1Q8B9I2|1__9|SGB17587
SRR33750937.167863__1.165350	UniRef90_A0A1Q8B9I2|1__9|SGB17587
SRR33750937.168214__1.165698	UniClust90_ECOHMLGB00268|7__13|SGB56640
SRR33750937.168372__1.165855	UniClust90_CMHDMJOM03219|1__5|SGB56640
SRR33750937.169607__1.167072	UniRef90_A0A1Q7BJI7|1__5|SGB56640
SRR33750937.171891__1.169324	UniClust90_MEEHGGHD01890|1__6|SGB127159
SRR33750937.173955__1.171353	UniClust90_JKONEDMA00306|1__6|SGB130007
SRR33750937.174038__1.171435	UniRef90_A0A2V5SN07|1__7|SGB52719
SRR33750937.175081__1.172463	UniClust90_PPJAIDOO03970|1__6|SGB84075
SRR33750937.175143__1.172524	UniClust90_PIHLJOEE01276|1__7|SGB84075
SRR33750937.175153__1.172534	UniClust90_PIHLJOEE01276|1__7|SGB84075
SRR33750937.175562__1.172937	UniClust90_EJAHAFID02924|1__9|SGB130007
SRR33750937.175780__1.173151	UniClust90_PPJAIDOO03970|1__6|SGB84075
SRR33750937.175794__1.173164	UniClust90_PPJAIDOO03970|1__6|SGB84075
SRR33750937.176056__1.173423	UniClust90_PPJAIDOO03970|1__6|SGB84075
SRR33750937.176480__1.173842	UniClust90_HNBLJKFC02489|1__8|SGB128778
SRR33750937.177563__1.174912	UniClust90_LLIEHLNH02861|1__7|SGB130007
SRR33750937.178351__1.175685	UniClust90_IMMCPGKG02021|1__7|SGB128778
SRR33750937.179295__1.176620	UniRef90_A0A2V8L2Z3|1__7|SGB17587
SRR33750937.179050__1.176376	UniRef90_A0A2V5KI43|1__7|SGB52730
SRR33750937.179819__1.177141	UniClust90_OCJAPFEA04909|1__14|SGB125949
SRR33750937.180177__1.177494	UniClust90_OGDEFDEG00938|1__12|SGB56118
SRR33750937.181666__1.178963	UniClust90_PKNCJFOJ01144|1__7|SGB56640
SRR33750937.182097__1.179388	UniClust90_ECOHMLGB00268|7__13|SGB56640
SRR33750937.182386__1.179671	UniClust90_BJFHLDNO04851|1__9|SGB124485
SRR33750937.184439__1.181695	UniRef90_A0A1Q7B755|1__5|SGB56640
SRR33750937.185015__1.182259	UniClust90_JBOFJENC02808|1__7|SGB56104
SRR33750937.185180__1.182420	UniClust90_JMFJJCJA03385|1__6|SGB130007
SRR33750937.186983__1.184206	UniClust90_JHBOFGEP02101|1__6|SGB56638
SRR33750937.187116__1.184339	UniRef90_A0A1Q7BT41|1__13|SGB56640
SRR33750937.188079__1.185287	UniClust90_JKONEDMA02815|1__9|SGB130007
SRR33750937.188776__1.185976	UniRef90_A0A1Q7BDI5|1__10|SGB56640
SRR33750937.190822__1.187995	UniRef90_A0A1Q7BT41|1__13|SGB56640
SRR33750937.191441__1.188607	UniClust90_PIHLJOEE02612|1__9|SGB84075
SRR33750937.192045__1.189203	UniClust90_MAPMGLEE01701|1__7|SGB133332
SRR33750937.192409__1.189563	UniClust90_BGDHDLNA01758|1__9|SGB84075
SRR33750937.192567__1.189719	UniClust90_JHHAJKKH05244|1__18|SGB154096
SRR33750937.192972__1.190119	UniClust90_OJGLOKOM03743|1__6|SGB84075
SRR33750937.194191__1.191320	UniRef90_A0A2V8KQJ4|1__9|SGB17587
SRR33750937.195249__1.192367	UniClust90_GFFNGEKC02172|1__6|SGB56640
SRR33750937.196756__1.193853	UniClust90_JMFJJCJA04630|1__13|SGB130007
SRR33750937.197114__1.194208	UniClust90_NHHHKJJE03544|1__9|SGB125949
SRR33750937.197332__1.194422	UniClust90_NHHHKJJE03544|1__9|SGB125949
SRR33750937.197506__1.194594	UniClust90_JJHIHGKO05931|1__11|SGB87373
SRR33750937.197492__1.194580	UniClust90_BOKHIPMC05698|1__5|SGB130007
SRR33750937.197531__1.194619	UniClust90_BOKHIPMC05698|1__5|SGB130007
SRR33750937.198466__1.195539	UniClust90_DHCJNNEN01442|1__3|SGB89423
SRR33750937.198885__1.195952	UniClust90_NOMIGGEC00868|1__15|SGB125949
SRR33750937.200329__1.197380	UniClust90_OCJAPFEA05725|1__11|SGB125949
SRR33750937.200304__1.197355	UniRef90_A0A1Q8B8H7|1__5|SGB17587
SRR33750937.199999__1.197055	UniClust90_FNPCGKEP04476|1__3|SGB84078
SRR33750937.201155__1.198201	UniRef90_A0A2V6DPD2|1__8|SGB22169
SRR33750937.201305__1.198350	UniRef90_A0A2V6DPD2|1__8|SGB22169
SRR33750937.201380__1.198424	UniClust90_LLIEHLNH02657|1__8|SGB130007
SRR33750937.201430__1.198473	UniClust90_OAGJJAJI00769|1__5|SGB122683
SRR33750937.200809__1.197859	UniClust90_PKCJLHDA02084|1__7|SGB89408
SRR33750937.202110__1.199146	UniClust90_ECOHMLGB00268|7__13|SGB56640
SRR33750937.202184__1.199219	UniRef90_A0A2V5S4C1|1__3|SGB52729
SRR33750937.202635__1.199665	UniClust90_IOFPBIHC03296|1__5|SGB130007
SRR33750937.203039__1.200063	UniRef90_A0A2V5TPG6|1__16|SGB52719
SRR33750937.203385__1.200408	UniClust90_DCOEIGHC00639|1__6|SGB89423
SRR33750937.204118__1.201134	UniClust90_PPJAIDOO00039|1__7|SGB84075
SRR33750937.204286__1.201299	UniClust90_EKCLMAKM04286|1__10|SGB89408
SRR33750937.204549__1.201559	UniClust90_LACEKAON02817|1__13|SGB129874
SRR33750937.206518__1.203503	UniClust90_PPDCKKGL00670|1__9|SGB133090
SRR33750937.207318__1.204297	UniClust90_GJEIHIOJ00691|1__11|SGB122526
SRR33750937.209298__1.206257	UniClust90_IOFPBIHC03266|1__6|SGB130007
SRR33750937.210060__1.207003	UniRef90_A0A2V5LXJ5|1__11|SGB52719
SRR33750937.212780__1.209690	UniRef90_A0A1Q7S1W9|1__7|SGB17587
SRR33750937.213519__1.210416	UniClust90_PICJGFGP01171|1__4|SGB89423
SRR33750937.216183__1.213052	UniClust90_LPLBNIJN03250|1__11|SGB131050
SRR33750937.216889__1.213751	UniClust90_NHHHKJJE03336|1__11|SGB125949
SRR33750937.216932__1.213793	UniClust90_PEODAMJP01643|1__8|SGB128471
SRR33750937.217151__1.214008	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750937.218744__1.215576	UniRef90_A0A2V6JEK6|1__9|SGB52719
SRR33750937.219707__1.216528	UniClust90_HGJNCPHJ00225|1__14|SGB125949
SRR33750937.221411__1.218210	UniClust90_OALLKAFI02534|2__5|SGB84078
SRR33750937.224096__1.220854	UniClust90_EBKBLHBP00211|1__8|SGB133090
SRR33750937.224118__1.220876	UniClust90_EBKBLHBP00211|1__8|SGB133090
SRR33750937.224221__1.220976	UniClust90_DEFNONOM00525|1__6|SGB56640
SRR33750937.225093__1.221837	UniClust90_HGJNCPHJ04706|1__10|SGB125949
SRR33750937.226064__1.222799	UniClust90_CMJGEBLA02385|1__8|SGB89408
SRR33750937.226593__1.223321	UniClust90_NOMIGGEC02011|1__14|SGB125949
SRR33750937.227124__1.223844	UniClust90_PPJAIDOO03992|1__7|SGB84075
SRR33750937.227840__1.224546	UniClust90_DAODNPOA02759|1__4|SGB89725
SRR33750937.228924__1.225621	UniClust90_OJGLOKOM01700|1__15|SGB84075
SRR33750937.229189__1.225882	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750937.229297__1.225990	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.229336__1.226029	UniClust90_DAODNPOA02748|2__11|SGB89725
SRR33750937.230214__1.226898	UniClust90_KMEALJDO02797|3__6|SGB84078
