SRR33750958.128__1.127	UniClust90_PLNJEBMN01166|1__4|SGB133091
SRR33750958.155815__1.152901	UniClust90_JBMBCDML00149|1__6|SGB89725
SRR33750958.156066__1.153144	UniClust90_DCJCBMEC03036|3__7|SGB122526
SRR33750958.156160__1.153234	UniRef90_A0A2V6J437|1__10|SGB52717
SRR33750958.156762__1.153829	UniClust90_BKEMCFBC03353|3__7|SGB131913
SRR33750958.157272__1.154329	UniClust90_OCJAPFEA03308|1__24|SGB125949
SRR33750958.159221__1.156252	UniClust90_OALLKAFI02755|1__10|SGB84078
SRR33750958.159452__1.156482	UniRef90_A0A1I6VIU0|1__8|SGB7706
SRR33750958.159990__1.157016	UniClust90_GIDCBJMF00479|1__11|SGB134112
SRR33750958.162275__1.159265	UniClust90_OCJAPFEA05725|1__11|SGB125949
SRR33750958.161939__1.158933	UniClust90_ENBABIAF00632|1__8|SGB128778
SRR33750958.163274__1.160246	UniRef90_A0A2A8S7U5|1__6|SGB7708
SRR33750958.166289__1.163207	UniClust90_DPLIHBNC00975|1__15|SGB89725
SRR33750958.166481__1.163393	UniRef90_A0A2V5M5A1|1__20|SGB52717
SRR33750958.167955__1.164845	UniClust90_HGJNCPHJ02716|1__11|SGB125949
SRR33750958.168020__1.164908	UniRef90_A0A2V6DNZ0|1__9|SGB22169
SRR33750958.167140__1.164040	UniClust90_NHHHKJJE02555|1__9|SGB125949
SRR33750958.168984__1.165856	UniClust90_GMEAMNGB01994|1__13|SGB134112
SRR33750958.169030__1.165901	UniClust90_NHHHKJJE02731|1__12|SGB125949
SRR33750958.168937__1.165809	UniClust90_JMFJJCJA03372|1__11|SGB130007
SRR33750958.171040__1.167876	UniClust90_IOFPBIHC00363|10__14|SGB130007
SRR33750958.170707__1.167552	UniClust90_FNPCGKEP00283|1__5|SGB84078
SRR33750958.171974__1.168792	UniClust90_GPDICDPN01528|1__5|SGB89423
SRR33750958.172223__1.169039	UniClust90_NOMIGGEC02016|1__9|SGB125949
SRR33750958.175140__1.171904	UniClust90_MCIKAKAA05123|1__12|SGB89693
SRR33750958.175219__1.171981	UniClust90_OECKFAOL01866|1__5|SGB89423
SRR33750958.175292__1.172053	UniClust90_DEFNONOM01302|1__5|SGB56640
SRR33750958.175078__1.171843	UniClust90_KIMIJBHB04217|1__23|SGB126432
SRR33750958.175885__1.172637	UniClust90_HGJNCPHJ03485|1__9|SGB125949
SRR33750958.175248__1.172010	UniClust90_OECKFAOL01866|1__5|SGB89423
SRR33750958.175951__1.172702	UniClust90_JKONEDMA00794|1__6|SGB130007
SRR33750958.175711__1.172465	UniClust90_CLCLENLF00205|1__4|SGB128859
SRR33750958.176833__1.173567	UniClust90_FKAEHBFM00381|1__8|SGB74789
SRR33750958.177296__1.174023	UniClust90_JMFJJCJA05080|1__5|SGB130007
SRR33750958.177730__1.174448	UniClust90_JKONEDMA00794|1__6|SGB130007
SRR33750958.178395__1.175108	UniClust90_IJHKGIGD01415|1__8|SGB128471
SRR33750958.178510__1.175222	UniClust90_DEFNONOM02357|8__12|SGB56640
SRR33750958.182487__1.179110	UniClust90_LKKOAHPD02476|1__8|SGB73645
SRR33750958.182508__1.179131	UniClust90_FECOCFCC02654|1__13|SGB128987
SRR33750958.184263__1.180855	UniClust90_OCJAPFEA01948|1__11|SGB125949
SRR33750958.184411__1.181001	UniClust90_EDNFDLAG01056|1__7|SGB84078
SRR33750958.187991__1.184513	UniClust90_HOPPLHLN00086|1__11|SGB128471
SRR33750958.188787__1.185294	UniClust90_FECOCFCC02654|1__13|SGB128987
SRR33750958.189193__1.185697	UniClust90_OCJAPFEA00140|1__12|SGB125949
SRR33750958.189455__1.185958	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750958.191080__1.187550	UniClust90_GPDICDPN01528|1__5|SGB89423
SRR33750958.191086__1.187556	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.191227__1.187695	UniClust90_FNPCGKEP04731|1__3|SGB84078
SRR33750958.191259__1.187727	UniClust90_GJEIHIOJ03212|1__5|SGB122526
SRR33750958.192845__1.189287	UniRef90_A0A233SCE9|1__10|SGB16204
SRR33750958.193988__1.190415	UniClust90_DJFHEFAJ02190|1__3|SGB89423
SRR33750958.194111__1.190536	UniClust90_ICJPFPDN01450|1__3|SGB74789
SRR33750958.194943__1.191356	UniRef90_A0A1Q7B874|1__5|SGB56640
SRR33750958.195937__1.192335	UniClust90_JBMBCDML02119|1__6|SGB89725
SRR33750958.196438__1.192825	UniClust90_DPLIHBNC01575|1__6|SGB89725
SRR33750958.197241__1.193616	UniRef90_A0A1Q7B556|3__8|SGB56640
SRR33750958.198104__1.194473	UniClust90_NOMIGGEC04189|1__9|SGB125949
SRR33750958.199001__1.195361	UniClust90_FCDOLIDE02347|2__16|SGB89409
SRR33750958.200049__1.196391	UniClust90_FNPCGKEP04731|1__3|SGB84078
SRR33750958.199915__1.196259	UniClust90_HGJNCPHJ03935|1__11|SGB125949
SRR33750958.200917__1.197246	UniClust90_DPLIHBNC01349|1__19|SGB89725
SRR33750958.201428__1.197746	UniClust90_EJACLGKJ02470|1__15|SGB133209
SRR33750958.201495__1.197813	UniClust90_OALLKAFI02536|2__7|SGB84078
SRR33750958.202195__1.198505	UniClust90_NOMIGGEC01921|1__15|SGB125949
SRR33750958.202713__1.199017	UniClust90_MFOHBBJG00853|1__3|SGB89423
SRR33750958.203122__1.199416	UniClust90_BKIEHKJF01158|1__5|SGB131913
SRR33750958.203384__1.199671	UniClust90_PKMOJOJK01016|1__6|SGB84078
SRR33750958.203544__1.199830	UniClust90_GJEIHIOJ01769|3__7|SGB122526
SRR33750958.204053__1.200332	UniRef90_A0A0R3KMM6|1__14|SGB11346
SRR33750958.204057__1.200336	UniRef90_A0A0R3KMM6|1__14|SGB11346
SRR33750958.204375__1.200646	UniClust90_OJGLOKOM01700|1__15|SGB84075
SRR33750958.204643__1.200911	UniClust90_JMJHPHJK01285|1__5|SGB134112
SRR33750958.205624__1.201875	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750958.205631__1.201882	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750958.205505__1.201759	UniClust90_HGJNCPHJ04381|1__18|SGB125949
SRR33750958.206614__1.202849	UniClust90_ECOHMLGB01307|5__10|SGB56640
SRR33750958.207850__1.204067	UniClust90_GMEAMNGB00679|1__6|SGB134112
SRR33750958.207971__1.204187	UniClust90_ANDLCEDJ02263|1__9|SGB133091
SRR33750958.208303__1.204511	UniClust90_FKLKIPMJ02019|1__5|SGB74789
SRR33750958.208507__1.204710	UniClust90_ENBABIAF01015|1__12|SGB128778
SRR33750958.210717__1.206889	UniClust90_KMEALJDO03123|3__7|SGB84078
SRR33750958.210925__1.207090	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.211019__1.207184	UniClust90_JGBJHCMO00401|1__5|SGB133354
SRR33750958.212689__1.208833	UniClust90_LIINKELB02473|1__4|SGB129769
SRR33750958.214739__1.210846	UniClust90_DCJCBMEC01203|1__10|SGB122526
SRR33750958.214768__1.210871	UniClust90_OIPOEBPA04372|1__8|SGB84075
SRR33750958.215822__1.211909	UniClust90_JKONEDMA00955|1__6|SGB130007
SRR33750958.216586__1.212662	UniClust90_HGJNCPHJ00225|1__14|SGB125949
SRR33750958.217528__1.213600	UniClust90_CAGCLOCO01516|1__3|SGB89423
SRR33750958.218262__1.214321	UniRef90_A0A1Q7BYM5|1__6|SGB73517
SRR33750958.218875__1.214928	UniClust90_KAHJAFCN01652|1__12|SGB133052
SRR33750958.219396__1.215445	UniClust90_EDNFDLAG00955|2__6|SGB84078
SRR33750958.220660__1.216690	UniClust90_CBNLCMFD01069|1__7|SGB74789
SRR33750958.221475__1.217490	UniClust90_EJAHAFID03661|1__11|SGB130007
SRR33750958.221935__1.217947	UniClust90_ECOHMLGB00268|7__13|SGB56640
SRR33750958.222809__1.218800	UniClust90_HGJNCPHJ02720|1__8|SGB125949
SRR33750958.223115__1.219100	UniClust90_KMEALJDO02053|1__8|SGB84078
SRR33750958.224761__1.220723	UniClust90_FGHPNAPC00358|1__6|SGB89423
SRR33750958.225451__1.221404	UniRef90_A0A1Q7BT41|1__13|SGB56640
SRR33750958.226695__1.222629	UniClust90_CHMIEHDJ02503|1__6|SGB56640
SRR33750958.227286__1.223212	UniClust90_DJBDGBNB01635|1__6|SGB89725
SRR33750958.228677__1.224583	UniClust90_OOJDGJFL00115|1__7|SGB74789
SRR33750958.228949__1.224851	UniClust90_GMEAMNGB01054|2__7|SGB134112
