SRR33750957.1655__1.1620	UniRef90_A0A2V6AUU0|1__6|SGB52714
SRR33750957.73390__1.72204	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750957.73491__1.72304	UniClust90_IOFPBIHC02652|1__5|SGB130007
SRR33750957.73554__1.72365	UniClust90_DPLIHBNC01353|1__10|SGB89725
SRR33750957.73635__1.72446	UniClust90_LACEKAON03994|5__14|SGB129874
SRR33750957.74026__1.72830	UniRef90_A0A2V5RX08|1__8|SGB52719
SRR33750957.74089__1.72892	UniRef90_A0A2V5RX08|1__8|SGB52719
SRR33750957.75913__1.74692	UniRef90_A0A2V5Z0L7|1__15|SGB52714
SRR33750957.76105__1.74882	UniClust90_DAPCNGMP01639|1__4|SGB133334
SRR33750957.76583__1.75350	UniClust90_IOFPBIHC03389|1__5|SGB130007
SRR33750957.78266__1.77011	UniRef90_A0A1Q7B5P0|1__4|SGB56640
SRR33750957.77922__1.76671	UniRef90_A0A2V8KRV2|1__11|SGB17587
SRR33750957.78238__1.76984	UniClust90_ANKLIGBF03420|1__5|SGB133334
SRR33750957.80244__1.78965	UniClust90_PLNJEBMN01430|1__6|SGB133091
SRR33750957.80476__1.79196	UniClust90_OBLHOBNO01067|1__10|SGB134858
SRR33750957.80452__1.79172	UniClust90_OBLHOBNO01067|1__10|SGB134858
SRR33750957.80631__1.79348	UniClust90_BOAKGFPK03829|1__15|SGB130909
SRR33750957.81585__1.80276	UniClust90_DHPLAFHA01379|1__4|SGB89406
SRR33750957.81945__1.80628	UniRef90_A0A2A8S9B6|1__15|SGB7708
SRR33750957.82546__1.81220	UniClust90_IOFPBIHC00783|1__6|SGB130007
SRR33750957.83350__1.82012	UniClust90_IBMDDACE00899|1__8|SGB128778
SRR33750957.83406__1.82068	UniClust90_NPONNIIF02117|1__9|SGB125699
SRR33750957.84090__1.82744	UniClust90_CHLBPEBB02874|1__5|SGB89725
SRR33750957.85211__1.83852	UniClust90_BOAKGFPK01782|1__12|SGB130909
SRR33750957.86093__1.84725	UniClust90_NJGLCGCL02511|1__6|SGB122683
SRR33750957.86155__1.84786	UniClust90_NJGLCGCL02511|1__6|SGB122683
SRR33750957.87771__1.86376	UniRef90_A0A2V5YQJ8|1__15|SGB52714
SRR33750957.89673__1.88256	UniClust90_BOKHIPMC05211|1__6|SGB130007
SRR33750957.90421__1.88994	UniClust90_IMMCPGKG01735|1__9|SGB128778
SRR33750957.90481__1.89053	UniClust90_PIHLJOEE04722|1__6|SGB84075
SRR33750957.92246__1.90797	UniClust90_CHMIEHDJ02211|1__6|SGB56640
SRR33750957.93284__1.91820	UniClust90_HGFGGOBL00751|1__5|SGB84331
SRR33750957.92721__1.91263	UniClust90_NPCMNNGD04320|1__12|SGB130909
SRR33750957.93510__1.92043	UniClust90_PPJAIDOO03964|1__9|SGB84075
SRR33750957.94343__1.92864	UniRef90_A0A1Q7BY50|1__5|SGB73517
SRR33750957.95166__1.93680	UniRef90_A0A0V8JC61|1__3|SGB8287
SRR33750957.95839__1.94347	UniClust90_MEABCEIN01071|1__9|SGB84078
SRR33750957.96338__1.94841	UniClust90_NFMPBPOM00057|1__17|SGB128685
SRR33750957.96926__1.95424	UniClust90_OPLEJCPF04794|1__13|SGB125949
SRR33750957.97571__1.96061	UniRef90_A0A2V8GTH9|1__13|SGB17587
SRR33750957.97576__1.96066	UniRef90_A0A2V8GTH9|1__13|SGB17587
SRR33750957.97672__1.96162	UniRef90_A0A2V8GTH9|1__13|SGB17587
SRR33750957.98040__1.96521	UniClust90_CMHDMJOM03219|1__5|SGB56640
SRR33750957.97885__1.96368	UniClust90_PIHLJOEE04123|1__13|SGB84075
SRR33750957.98972__1.97437	UniClust90_EJAHAFID00491|1__5|SGB130007
SRR33750957.99237__1.97696	UniClust90_LACEKAON00692|1__11|SGB129874
SRR33750957.99516__1.97970	UniClust90_EOFGAKMC01067|1__6|SGB84075
SRR33750957.99726__1.98175	UniRef90_A0A2V5RS75|1__5|SGB52719
SRR33750957.99731__1.98180	UniClust90_DIBLBONP00224|1__6|SGB84078
SRR33750957.99876__1.98321	UniClust90_COKELJNN01707|1__19|SGB86999
SRR33750957.100597__1.99031	UniClust90_PEFAJAGP00341|3__7|SGB73699
SRR33750957.100635__1.99069	UniClust90_OHDNDPPA03350|1__10|SGB128685
SRR33750957.102625__1.101033	UniRef90_A0A2V8KZ17|1__4|SGB17587
SRR33750957.101881__1.100300	UniRef90_A0A2V5JJY3|3__10|SGB52730
SRR33750957.102632__1.101040	UniRef90_A0A2V8KZ17|1__4|SGB17587
SRR33750957.102635__1.101043	UniRef90_A0A2V8KZ17|1__4|SGB17587
SRR33750957.102639__1.101047	UniRef90_A0A2V8KZ17|1__4|SGB17587
SRR33750957.103199__1.101603	UniClust90_INAHCMGI00125|1__20|SGB128685
SRR33750957.102445__1.100856	UniClust90_OJGLOKOM00925|1__10|SGB84075
SRR33750957.103500__1.101901	UniClust90_NHHHKJJE00274|1__11|SGB125949
SRR33750957.103461__1.101863	UniClust90_PFBNAPOO00639|1__3|SGB89423
SRR33750957.103517__1.101918	UniClust90_PFBNAPOO00639|1__3|SGB89423
SRR33750957.104780__1.103164	UniClust90_CKKLCDJO02000|1__6|SGB127159
SRR33750957.105188__1.103571	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750957.106538__1.104899	UniClust90_OBPNKPOH02957|1__6|SGB133334
SRR33750957.107472__1.105820	UniClust90_BKIEHKJF01709|1__5|SGB131913
SRR33750957.108027__1.106370	UniClust90_AOFEFPLA01906|1__13|SGB176293
SRR33750957.109440__1.107765	UniClust90_IMMCPGKG01108|1__8|SGB128778
SRR33750957.110744__1.109046	UniClust90_BDGBANDJ03638|1__8|SGB127159
SRR33750957.111655__1.109943	UniRef90_A0A2V6SYS3|1__8|SGB24057
SRR33750957.112445__1.110725	UniRef90_A0A2V5KVT7|1__5|SGB52720
SRR33750957.112891__1.111168	UniClust90_FOFGDJNC01065|1__6|SGB54460
SRR33750957.112749__1.111026	UniClust90_JMJFHMFF00749|1__13|SGB128764
SRR33750957.113410__1.111682	UniClust90_CBDKFAGD00328|1__10|SGB73712
SRR33750957.114249__1.112504	UniClust90_NLENOKCO00995|1__18|SGB76719
SRR33750957.114586__1.112840	UniClust90_NFMPBPOM02565|1__10|SGB128685
SRR33750957.115861__1.114099	UniClust90_GFFNGEKC01100|1__6|SGB56640
SRR33750957.115434__1.113676	UniRef90_A0A2V5M3G6|1__6|SGB52719
SRR33750957.116474__1.114708	UniClust90_KIHGAKFE00146|1__9|SGB128778
SRR33750957.117196__1.115411	UniClust90_FPPJKHLH04183|1__10|SGB126808
SRR33750957.119003__1.117194	UniClust90_FNPCGKEP00675|1__5|SGB84078
SRR33750957.119090__1.117280	UniClust90_NMMEDCHE01638|1__4|SGB89423
SRR33750957.119782__1.117957	UniClust90_DIBLBONP01702|3__13|SGB84078
SRR33750957.119578__1.117755	UniRef90_A0A2V8IHQ7|1__6|SGB17587
SRR33750957.121284__1.119441	UniRef90_A0A2V9AUY4|1__12|SGB22110
SRR33750957.121091__1.119248	UniClust90_NMMEDCHE01638|1__4|SGB89423
SRR33750957.122702__1.120838	UniClust90_NFMPBPOM02565|1__10|SGB128685
SRR33750957.122719__1.120855	UniClust90_NFMPBPOM02565|1__10|SGB128685
SRR33750957.124016__1.122136	UniClust90_DIBLBONP01245|1__6|SGB84078
SRR33750957.125387__1.123494	UniRef90_A0A1Q7B5P0|1__4|SGB56640
SRR33750957.126507__1.124593	UniClust90_BKIEHKJF01919|1__5|SGB131913
SRR33750957.127530__1.125605	UniClust90_OEKPEMHO01521|1__10|SGB129874
SRR33750957.128080__1.126152	UniRef90_A0A1B1U860|1__9|SGB11349
SRR33750957.128395__1.126463	UniClust90_KDDPKKIL02562|1__9|SGB128471
SRR33750957.129270__1.127330	UniRef90_A0A2V5J5A0|1__14|SGB52720
SRR33750957.129888__1.127937	UniClust90_PKNCJFOJ04528|1__6|SGB56640
SRR33750957.130422__1.128466	UniClust90_AMDOLPBA01760|1__12|SGB73712
SRR33750957.130911__1.128952	UniRef90_A0A1Q7WDW0|1__6|SGB130007
SRR33750957.131282__1.129318	UniClust90_BOKHIPMC04801|1__7|SGB130007
SRR33750957.131905__1.129936	UniClust90_IMHFAHDD01185|1__18|SGB208937
SRR33750957.132399__1.130421	UniClust90_CAGCLOCO01573|1__5|SGB89423
SRR33750957.134874__1.132865	UniClust90_HNBLJKFC00397|1__12|SGB128778
SRR33750957.136802__1.134776	UniClust90_INAHCMGI01172|1__9|SGB128685
SRR33750957.136899__1.134872	UniClust90_DAODNPOA00540|1__5|SGB89725
SRR33750957.137435__1.135400	UniRef90_A0A2V5YZV5|1__6|SGB52714
SRR33750957.138190__1.136151	UniClust90_DJBDGBNB03403|1__7|SGB89725
SRR33750957.139333__1.137281	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750957.139414__1.137362	UniClust90_BOKHIPMC03210|1__11|SGB130007
SRR33750957.139855__1.137796	UniClust90_IGKPANEM00287|1__11|SGB128987
SRR33750957.139811__1.137753	UniClust90_OEKPEMHO04189|1__10|SGB129874
SRR33750957.140475__1.138410	UniClust90_ECOHMLGB01307|5__10|SGB56640
SRR33750957.140929__1.138855	UniClust90_CDCDKIIJ01453|1__11|SGB84331
SRR33750957.140976__1.138901	UniClust90_HGAMACDH01313|1__12|SGB128778
SRR33750957.142047__1.139954	UniRef90_A0A1Q8BC56|4__17|SGB17587
SRR33750957.142611__1.140512	UniClust90_DPLIHBNC01543|1__15|SGB89725
SRR33750957.143473__1.141368	UniClust90_BOKHIPMC02055|1__16|SGB130007
SRR33750957.143570__1.141463	UniClust90_NPCMNNGD03699|1__16|SGB130909
SRR33750957.144047__1.141936	UniClust90_ECOFPDDJ00117|1__4|SGB89423
SRR33750957.145001__1.142879	UniClust90_DPJLILCC01647|4__7|SGB89725
SRR33750957.145272__1.143145	UniClust90_PEODAMJP00711|1__14|SGB128471
SRR33750957.145328__1.143201	UniClust90_LLIEHLNH01635|1__5|SGB130007
SRR33750957.145303__1.143176	UniClust90_CMHDMJOM04410|1__6|SGB56640
SRR33750957.145341__1.143214	UniClust90_PEODAMJP00711|1__14|SGB128471
SRR33750957.148151__1.145985	UniClust90_HNBLJKFC00645|1__7|SGB128778
SRR33750957.148210__1.146043	UniClust90_HNBLJKFC00645|1__7|SGB128778
SRR33750957.150814__1.148612	UniClust90_PEODAMJP00711|1__14|SGB128471
SRR33750957.151246__1.149036	UniRef90_A0A2V5ZTD3|3__7|SGB52720
SRR33750957.152115__1.149895	UniClust90_DIBLBONP01299|1__8|SGB84078
SRR33750957.151901__1.149684	UniClust90_LJMOGHMP02379|1__8|SGB128778
SRR33750957.152506__1.150283	UniClust90_BGDHDLNA07467|1__10|SGB84075
SRR33750957.153065__1.150833	UniClust90_NOMIGGEC03977|1__9|SGB125949
SRR33750957.154161__1.151914	UniClust90_MEABCEIN00888|1__7|SGB84078
SRR33750957.155005__1.152746	UniClust90_BDGBANDJ02816|1__15|SGB127159
SRR33750957.155642__1.153376	UniRef90_A0A2V5YTW9|1__11|SGB52714
SRR33750957.157909__1.155622	UniClust90_EJHPGLNK01677|1__5|SGB89423
SRR33750957.157409__1.155124	UniClust90_PPJAIDOO02680|1__7|SGB84075
SRR33750957.158108__1.155820	UniClust90_LLIEHLNH02423|1__9|SGB130007
SRR33750957.158985__1.156681	UniClust90_BOKHIPMC02055|1__16|SGB130007
SRR33750957.159499__1.157176	UniClust90_MEABCEIN01012|1__7|SGB84078
SRR33750957.160192__1.157862	UniClust90_NHHHKJJE02555|1__9|SGB125949
SRR33750957.160633__1.158299	UniClust90_NMGFMEAG06147|1__8|SGB93406
SRR33750957.161691__1.159340	UniClust90_BOAKGFPK02311|1__24|SGB130909
SRR33750957.161590__1.159240	UniClust90_LLIEHLNH02657|1__8|SGB130007
SRR33750957.162431__1.160074	UniClust90_INNLFMKA00449|1__5|SGB122683
SRR33750957.163631__1.161263	UniRef90_A0A2V5TPG6|1__16|SGB52719
SRR33750957.164826__1.162455	UniClust90_GFHGLNMO00865|1__3|SGB133091
SRR33750957.164736__1.162365	UniClust90_DPLIHBNC01349|1__19|SGB89725
SRR33750957.164772__1.162401	UniClust90_GFHGLNMO00865|1__3|SGB133091
SRR33750957.165624__1.163243	UniRef90_A0A3D5DSM3|1__7|SGB130007
SRR33750957.165437__1.163059	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750957.166653__1.164265	UniClust90_LACEKAON01664|1__12|SGB129874
SRR33750957.166944__1.164554	UniRef90_A0A2V6LHR7|1__4|SGB52714
SRR33750957.167679__1.165279	UniClust90_EDNFDLAG02239|1__11|SGB84078
SRR33750957.167894__1.165494	UniRef90_A0A1Q7BHH0|1__4|SGB56638
SRR33750957.168777__1.166371	UniClust90_EJAHAFID03406|1__6|SGB130007
SRR33750957.169431__1.167013	UniClust90_EBKBLHBP00075|1__9|SGB133090
SRR33750957.171467__1.169032	UniRef90_A0A2V5M5A1|1__20|SGB52717
SRR33750957.171733__1.169293	UniClust90_JMFJJCJA04124|1__5|SGB130007
SRR33750957.173529__1.171068	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750957.174362__1.171893	UniClust90_BHLGKCAN05273|1__7|SGB56640
SRR33750957.174495__1.172024	UniRef90_A0A2V8NS03|7__12|SGB17587
SRR33750957.175249__1.172771	UniClust90_LACEKAON00752|1__19|SGB129874
SRR33750957.175790__1.173306	UniClust90_NHHHKJJE03544|1__9|SGB125949
SRR33750957.175446__1.172966	UniClust90_MDGCCGDH01476|1__5|SGB56640
SRR33750957.176749__1.174254	UniClust90_PLNJEBMN00393|13__18|SGB133091
SRR33750957.177231__1.174728	UniRef90_A0A2V8LDY4|1__5|SGB17587
SRR33750957.178204__1.175690	UniClust90_FNGEFING00846|1__6|SGB89410
SRR33750957.178298__1.175783	UniClust90_OAGJJAJI00953|1__4|SGB122683
SRR33750957.178684__1.176163	UniClust90_EDNFDLAG01345|1__11|SGB84078
SRR33750957.178339__1.175823	UniClust90_OAGJJAJI00953|1__4|SGB122683
SRR33750957.179029__1.176507	UniClust90_EPFPPACB02644|1__22|SGB173166
SRR33750957.180763__1.178215	UniClust90_DAODNPOA01419|1__5|SGB89725
SRR33750957.181861__1.179304	UniRef90_A0A2V8H1W6|1__20|SGB17587
SRR33750957.181593__1.179038	UniClust90_HKBIJJBK02645|1__24|SGB110990
SRR33750957.182077__1.179517	UniRef90_A0A2V7PED5|1__4|SGB24043
SRR33750957.182238__1.179677	UniRef90_A0A2V8KW41|1__6|SGB17587
SRR33750957.181939__1.179382	UniRef90_A0A3D5DSW4|1__8|SGB130007
SRR33750957.185396__1.182794	UniClust90_EJFOFLBH02108|1__7|SGB133091
SRR33750957.185755__1.183152	UniClust90_EDBNNBOB01735|5__8|SGB56640
SRR33750957.185980__1.183374	UniClust90_EDBNNBOB01735|5__8|SGB56640
SRR33750957.186466__1.183854	UniClust90_CHMIEHDJ00058|1__4|SGB56640
SRR33750957.187151__1.184529	UniClust90_ACDABMLJ00442|1__7|SGB133090
SRR33750957.188435__1.185801	UniClust90_LLIEHLNH02915|1__12|SGB130007
SRR33750957.188635__1.186001	UniClust90_BOKHIPMC04272|1__7|SGB130007
SRR33750957.188677__1.186043	UniRef90_UPI0010092683|1__12|SGB31976
SRR33750957.188727__1.186092	UniClust90_JMFJJCJA04630|1__13|SGB130007
SRR33750957.188378__1.185744	UniClust90_PKMOJOJK04356|1__4|SGB84078
SRR33750957.189422__1.186779	UniClust90_IMMCPGKG02094|1__14|SGB128778
SRR33750957.189617__1.186969	UniClust90_OEKPEMHO04672|1__14|SGB129874
SRR33750957.190211__1.187556	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750957.190548__1.187885	UniClust90_LGBMFDOL02723|1__15|SGB129206
SRR33750957.191983__1.189306	UniClust90_OJFFJDAM00771|1__5|SGB89423
SRR33750957.193763__1.191072	UniClust90_MKPDLIIB01861|1__6|SGB131913
SRR33750957.194480__1.191779	UniClust90_NJGLCGCL01132|1__5|SGB122683
SRR33750957.195054__1.192348	UniClust90_OPLEJCPF01349|1__11|SGB125949
SRR33750957.196047__1.193327	UniClust90_OJFFJDAM00771|1__5|SGB89423
SRR33750957.196962__1.194229	UniClust90_IDPAEINK02024|1__16|SGB89725
SRR33750957.199053__1.196292	UniClust90_OEKPEMHO02809|1__12|SGB129874
SRR33750957.200178__1.197406	UniClust90_KMEALJDO01266|1__4|SGB84078
SRR33750957.200838__1.198059	UniClust90_DJBDGBNB01957|1__6|SGB89725
SRR33750957.201610__1.198823	UniClust90_ANDLCEDJ00060|1__8|SGB133091
SRR33750957.202369__1.199575	UniClust90_MEEHGGHD00159|1__7|SGB127159
SRR33750957.202479__1.199685	UniClust90_BKEMCFBC03407|1__5|SGB131913
SRR33750957.203754__1.200943	UniClust90_EJAHAFID00031|1__8|SGB130007
SRR33750957.204349__1.201533	UniRef90_A0A2V5T8A7|1__3|SGB52719
SRR33750957.204355__1.201539	UniRef90_A0A2V5T8A7|1__3|SGB52719
SRR33750957.204422__1.201606	UniClust90_CBDKFAGD01761|1__10|SGB73712
SRR33750957.206544__1.203708	UniClust90_EDNFDLAG02239|1__11|SGB84078
SRR33750957.207800__1.204949	UniClust90_MELOLLPK00615|1__5|SGB133334
SRR33750957.207776__1.204925	UniRef90_A0A2V5LXQ9|1__6|SGB52720
SRR33750957.209029__1.206162	UniClust90_DIBLBONP01299|1__8|SGB84078
SRR33750957.209892__1.207011	UniClust90_BGODPDGA02594|1__9|SGB55667
SRR33750957.210293__1.207407	UniClust90_BOKHIPMC02055|1__16|SGB130007
SRR33750957.210411__1.207524	UniClust90_LACEKAON01333|1__16|SGB129874
SRR33750957.212454__1.209542	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750957.213949__1.211019	UniClust90_LACEKAON01333|1__16|SGB129874
SRR33750957.214039__1.211106	UniClust90_EBKBLHBP00075|1__9|SGB133090
SRR33750957.214065__1.211132	UniClust90_BGDHDLNA04884|1__8|SGB84075
SRR33750957.215069__1.212124	UniClust90_IOFPBIHC04359|1__6|SGB130007
SRR33750957.215152__1.212207	UniClust90_BGDHDLNA04275|1__9|SGB84075
SRR33750957.215413__1.212466	UniClust90_IPBGJNGD01678|1__7|SGB89408
SRR33750957.216037__1.213084	UniClust90_JBMBCDML00149|1__6|SGB89725
SRR33750957.216806__1.213846	UniClust90_ILFFEGJL00138|1__8|SGB73517
SRR33750957.217023__1.214060	UniClust90_LACEKAON02880|1__11|SGB129874
SRR33750957.218450__1.215480	UniClust90_AMEPJLEF00691|1__7|SGB52730
SRR33750957.219597__1.216609	UniClust90_EJAHAFID00708|1__11|SGB130007
SRR33750957.222619__1.219592	UniClust90_PPJAIDOO03964|1__9|SGB84075
SRR33750957.222615__1.219588	UniClust90_EJAHAFID00708|1__11|SGB130007
SRR33750957.223323__1.220288	UniClust90_EJAHAFID04593|1__5|SGB130007
SRR33750957.223287__1.220253	UniClust90_KIMNEABG00244|1__11|SGB131913
SRR33750957.223939__1.220901	UniClust90_GFFNGEKC02172|1__6|SGB56640
SRR33750957.224579__1.221528	UniClust90_IMMCPGKG00910|1__8|SGB128778
SRR33750957.225462__1.222405	UniClust90_DPLIHBNC00975|1__15|SGB89725
SRR33750957.225865__1.222805	UniRef90_A0A1H8V700|1__11|SGB11234
SRR33750957.225956__1.222895	UniClust90_CFNDHIDG00354|1__5|SGB130045
SRR33750957.226996__1.223928	UniClust90_EJAHAFID02172|1__5|SGB130007
SRR33750957.227104__1.224036	UniClust90_EJAHAFID03692|1__8|SGB130007
SRR33750957.228844__1.225750	UniClust90_LLIEHLNH01141|5__12|SGB130007
SRR33750957.229858__1.226751	UniClust90_CKDECKMG01599|1__18|SGB133121
SRR33750957.230623__1.227509	UniClust90_OFJJKHAK01437|3__9|SGB84078
SRR33750957.230525__1.227411	UniClust90_BOKHIPMC05587|1__8|SGB130007
SRR33750957.231416__1.228293	UniClust90_IOFPBIHC01994|1__9|SGB130007
SRR33750957.232314__1.229181	UniClust90_PEODAMJP01677|1__7|SGB128471
SRR33750957.232457__1.229323	UniClust90_GFFNGEKC01100|1__6|SGB56640
SRR33750957.233838__1.230690	UniClust90_BGDHDLNA05938|1__15|SGB84075
SRR33750957.234876__1.231717	UniClust90_PICJGFGP02237|1__6|SGB89423
