SRR33750934.1002__1.987	UniRef90_A0A1Q7B5C4|2__6|SGB56640
SRR33750934.36467__1.35805	UniClust90_OPFCPGGL00660|1__5|SGB89423
SRR33750934.36661__1.35995	UniClust90_OPFCPGGL00660|1__5|SGB89423
SRR33750934.36975__1.36304	UniRef90_A0A1Q7BKE7|4__12|SGB56638
SRR33750934.37411__1.36731	UniClust90_BNOEINHM01536|1__5|SGB122683
SRR33750934.39384__1.38662	UniClust90_PIHLJOEE02612|1__9|SGB84075
SRR33750934.40093__1.39357	UniClust90_JMFJJCJA03385|1__6|SGB130007
SRR33750934.39810__1.39076	UniClust90_CBNLCMFD00766|1__4|SGB74789
SRR33750934.40394__1.39652	UniClust90_EDBNNBOB01936|1__5|SGB56640
SRR33750934.40427__1.39685	UniClust90_EKCLMAKM02393|1__10|SGB89408
SRR33750934.40623__1.39879	UniClust90_BIEFPEBK00666|1__4|SGB56638
SRR33750934.41152__1.40398	UniClust90_NABJMNEK00005|1__5|SGB89423
SRR33750934.41672__1.40905	UniClust90_OJGLOKOM02226|1__9|SGB84075
SRR33750934.42339__1.41566	UniClust90_PPDCKKGL00670|1__9|SGB133090
SRR33750934.41880__1.41112	UniClust90_IDPAEINK02220|1__4|SGB89725
SRR33750934.42599__1.41822	UniClust90_GIMAHFHH00411|8__17|SGB89408
SRR33750934.42922__1.42141	UniRef90_A0A0R3NCR8|1__8|SGB11343
SRR33750934.43249__1.42461	UniRef90_A5EC28|7__13|SGB11302
SRR33750934.43340__1.42549	UniClust90_NHHHKJJE01626|1__13|SGB125949
SRR33750934.43998__1.43200	UniClust90_NHHHKJJE02555|1__9|SGB125949
SRR33750934.45759__1.44933	UniClust90_DHFBAFBN01186|1__13|SGB133121
SRR33750934.46160__1.45329	UniClust90_CMHDMJOM03759|1__5|SGB56640
SRR33750934.46590__1.45750	UniClust90_DJBDGBNB03403|1__7|SGB89725
SRR33750934.47260__1.46408	UniClust90_LLIEHLNH02861|1__7|SGB130007
SRR33750934.48497__1.47626	UniClust90_OFJJKHAK02843|1__6|SGB84078
SRR33750934.48506__1.47635	UniClust90_OFJJKHAK02843|1__6|SGB84078
SRR33750934.49062__1.48179	UniClust90_IAFJOFII02335|1__8|SGB134112
SRR33750934.50513__1.49596	UniClust90_HJKNIEHA04162|1__7|SGB89408
SRR33750934.50634__1.49717	UniRef90_A0A1G9TBH3|1__13|SGB16422
SRR33750934.51784__1.50850	UniClust90_MEABCEIN01071|1__9|SGB84078
SRR33750934.53055__1.52100	UniClust90_JMFJJCJA00953|1__7|SGB130007
SRR33750934.53973__1.53008	UniClust90_HFNDKKKP00054|1__6|SGB74789
SRR33750934.53771__1.52806	UniClust90_EJAHAFID02172|1__5|SGB130007
SRR33750934.54537__1.53564	UniClust90_JMJHPHJK01792|1__6|SGB134112
SRR33750934.55279__1.54293	UniClust90_HJJKGIDI03198|1__6|SGB130045
SRR33750934.55211__1.54226	UniClust90_OJFAJFEC01800|1__3|SGB89423
SRR33750934.56156__1.55156	UniClust90_NHHHKJJE03544|1__9|SGB125949
SRR33750934.58665__1.57629	UniClust90_GFPNNFCN05179|1__5|SGB87107
SRR33750934.58839__1.57800	UniClust90_MEKNKBGG00327|1__9|SGB87539
SRR33750934.60283__1.59221	UniClust90_LLIEHLNH02915|1__12|SGB130007
SRR33750934.61015__1.59939	UniClust90_JKONEDMA00794|1__6|SGB130007
SRR33750934.62368__1.61270	UniClust90_ANDLCEDJ00060|1__8|SGB133091
SRR33750934.63258__1.62146	UniClust90_IOFPBIHC03296|1__5|SGB130007
SRR33750934.64108__1.62980	UniClust90_OECKFAOL01864|1__3|SGB89423
SRR33750934.64109__1.62981	UniClust90_OECKFAOL01864|1__3|SGB89423
SRR33750934.66401__1.65226	UniClust90_GPDICDPN01528|1__5|SGB89423
SRR33750934.71083__1.69846	UniClust90_IOFPBIHC00363|1__8|SGB130007
SRR33750934.73208__1.71931	UniClust90_HNBLJKFC00328|1__8|SGB128778
SRR33750934.74332__1.73038	UniClust90_CKDECKMG03070|1__23|SGB133121
SRR33750934.74475__1.73177	UniClust90_NOMIGGEC03429|1__10|SGB125949
SRR33750934.76209__1.74887	UniClust90_FNPCGKEP00677|1__7|SGB84078
SRR33750934.77337__1.75994	UniRef90_A0A2V5KTQ2|1__11|SGB52719
SRR33750934.77738__1.76388	UniClust90_FNPCGKEP00677|1__7|SGB84078
SRR33750934.78924__1.77556	UniClust90_EBKBLHBP00075|1__9|SGB133090
SRR33750934.80951__1.79556	UniClust90_PKCJLHDA02375|1__8|SGB89408
SRR33750934.81511__1.80107	UniClust90_OPLEJCPF04706|1__9|SGB125949
SRR33750934.81898__1.80486	UniRef90_A0A2V7F5V3|1__8|SGB56134
SRR33750934.82482__1.81063	UniClust90_EHIAFBHG01479|1__9|SGB128778
SRR33750934.82496__1.81077	UniClust90_CBNLCMFD00766|1__4|SGB74789
SRR33750934.83203__1.81772	UniClust90_JKONEDMA01352|1__12|SGB130007
SRR33750934.85594__1.84129	UniClust90_OFJJKHAK01408|1__10|SGB84078
SRR33750934.86157__1.84680	UniClust90_MDGCCGDH03758|1__9|SGB56640
SRR33750934.87139__1.85641	UniClust90_KKDIGBNC01120|1__5|SGB74789
SRR33750934.87267__1.85768	UniClust90_OCJAPFEA06139|1__12|SGB125949
SRR33750934.87351__1.85849	UniClust90_DJBDGBNB02806|1__5|SGB89725
SRR33750934.88311__1.86797	UniClust90_CBNLCMFD00766|1__4|SGB74789
SRR33750934.88634__1.87115	UniClust90_EGCAKLJA02690|1__11|SGB128178
SRR33750934.88767__1.87246	UniClust90_FNPCGKEP00327|4__9|SGB84078
SRR33750934.89142__1.87615	UniClust90_JMFJJCJA02522|1__6|SGB130007
SRR33750934.89135__1.87608	UniClust90_JMFJJCJA02522|1__6|SGB130007
SRR33750934.89363__1.87836	UniClust90_MOPOFHCP03225|1__7|SGB89408
SRR33750934.89603__1.88072	UniClust90_HGFGGOBL01124|1__6|SGB84331
SRR33750934.89641__1.88108	UniClust90_GPBICIOO04061|1__16|SGB126733
SRR33750934.89928__1.88388	UniClust90_FNPCGKEP02888|2__9|SGB84078
SRR33750934.90060__1.88516	UniClust90_FNPCGKEP02888|2__9|SGB84078
SRR33750934.90608__1.89056	UniClust90_GIOGFDFC01961|13__26|SGB43158
SRR33750934.91052__1.89493	UniClust90_ELKMOIOH00732|1__4|SGB122683
SRR33750934.91153__1.89590	UniClust90_EJAHAFID00324|1__8|SGB130007
SRR33750934.91440__1.89872	UniRef90_A0A2V8IB45|1__4|SGB17587
SRR33750934.92500__1.90921	UniRef90_A0A1Q8B6G0|1__4|SGB17587
SRR33750934.93946__1.92345	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750934.93957__1.92356	UniClust90_JHHAJKKH01744|1__17|SGB154096
SRR33750934.94078__1.92476	UniClust90_IBNNDEFK01535|1__10|SGB89408
SRR33750934.94086__1.92484	UniClust90_IBNNDEFK01535|1__10|SGB89408
SRR33750934.96155__1.94515	UniClust90_LLIEHLNH03104|1__5|SGB130007
SRR33750934.96561__1.94915	UniClust90_GJBLDLDM02199|1__6|SGB89423
SRR33750934.96667__1.95019	UniClust90_DPJLILCC00965|1__4|SGB89725
SRR33750934.97201__1.95542	UniClust90_ENOGFNMP00700|2__5|SGB128859
SRR33750934.99235__1.97556	UniClust90_JMFJJCJA04673|1__5|SGB130007
SRR33750934.99916__1.98226	UniClust90_CGHAKFKK00777|1__8|SGB74789
SRR33750934.100786__1.99080	UniClust90_IDPAEINK02024|1__16|SGB89725
SRR33750934.101351__1.99640	UniRef90_A0A2V6FI72|1__11|SGB22169
SRR33750934.102302__1.100581	UniClust90_EDNFDLAG02239|1__11|SGB84078
SRR33750934.104337__1.102581	UniClust90_EJFOFLBH00818|4__7|SGB133091
SRR33750934.105969__1.104181	UniClust90_JBMBCDML02613|1__5|SGB89725
SRR33750934.106711__1.104914	UniClust90_LLIEHLNH02566|1__7|SGB130007
SRR33750934.106052__1.104264	UniClust90_HOMJAIDI01394|1__3|SGB89423
SRR33750934.107907__1.106091	UniClust90_OCJAPFEA01058|1__10|SGB125949
SRR33750934.108501__1.106677	UniClust90_AMDOLPBA01414|1__10|SGB73712
SRR33750934.108776__1.106950	UniRef90_A0A3D5DTJ9|2__6|SGB130007
SRR33750934.108826__1.107000	UniRef90_A0A3D5DTJ9|2__6|SGB130007
SRR33750934.109166__1.107336	UniClust90_DCGKPBEE00800|1__5|SGB89423
SRR33750934.111359__1.109502	UniClust90_HGAMACDH00292|1__7|SGB128778
SRR33750934.111727__1.109862	UniClust90_BOKHIPMC02055|1__16|SGB130007
SRR33750934.113506__1.111608	UniClust90_HOPPLHLN02081|1__9|SGB128471
SRR33750934.113508__1.111610	UniClust90_EJFOFLBH00165|1__5|SGB133091
SRR33750934.113607__1.111705	UniClust90_NHHHKJJE03506|1__9|SGB125949
SRR33750934.114892__1.112969	UniClust90_BKIEHKJF02126|1__6|SGB131913
SRR33750934.114945__1.113022	UniClust90_OPLEJCPF04706|1__9|SGB125949
SRR33750934.115093__1.113168	UniClust90_NPNKJHHI00581|1__11|SGB86769
SRR33750934.118080__1.116102	UniClust90_KMEALJDO02085|1__7|SGB84078
SRR33750934.119053__1.117064	UniClust90_EDDDEINJ00436|1__6|SGB89423
SRR33750934.120437__1.118434	UniClust90_ICLCAGBO00679|1__9|SGB131913
SRR33750934.120966__1.118948	UniClust90_LLIEHLNH00104|1__7|SGB130007
SRR33750934.120968__1.118950	UniClust90_HBCNFADG01134|3__9|SGB74789
SRR33750934.121934__1.119896	UniClust90_GJEIHIOJ01490|1__5|SGB122526
SRR33750934.122510__1.120462	UniClust90_GJEIHIOJ01490|1__5|SGB122526
SRR33750934.124589__1.122510	UniClust90_FNPCGKEP02384|1__7|SGB84078
SRR33750934.125207__1.123124	UniClust90_GMKONCKM00188|1__7|SGB89423
SRR33750934.125295__1.123210	UniClust90_OALLKAFI00543|1__7|SGB84078
SRR33750934.126887__1.124777	UniClust90_NHHHKJJE03506|1__9|SGB125949
SRR33750934.126989__1.124878	UniClust90_NOMIGGEC01663|1__12|SGB125949
SRR33750934.127480__1.125357	UniClust90_GIMAHFHH00842|1__8|SGB89408
SRR33750934.128226__1.126098	UniClust90_NNOGEMDJ02681|1__10|SGB128987
SRR33750934.128391__1.126262	UniClust90_KIMIJBHB03333|1__18|SGB126432
SRR33750934.130542__1.128382	UniClust90_HGFGGOBL01900|1__18|SGB84331
SRR33750934.131260__1.129088	UniRef90_A0A1Q7B865|1__5|SGB56640
SRR33750934.131515__1.129340	UniClust90_JMFJJCJA03372|1__11|SGB130007
SRR33750934.130955__1.128789	UniClust90_EJAHAFID03275|1__5|SGB130007
SRR33750934.132226__1.130042	UniClust90_IBMDDACE01635|1__8|SGB128778
SRR33750934.132340__1.130156	UniClust90_CPDHIADM00671|1__4|SGB74789
SRR33750934.132447__1.130260	UniClust90_HGJNCPHJ03120|1__8|SGB125949
SRR33750934.132492__1.130305	UniClust90_JBMBCDML00329|1__5|SGB89725
SRR33750934.132902__1.130708	UniClust90_HGJNCPHJ03120|1__8|SGB125949
SRR33750934.134329__1.132112	UniRef90_A0A2V5SN07|1__7|SGB52719
SRR33750934.138141__1.135870	UniRef90_A0A3D5DSW4|1__8|SGB130007
SRR33750934.138781__1.136497	UniRef90_A0A1Q7BT39|1__6|SGB56640
SRR33750934.140326__1.138019	UniClust90_IBMDDACE00099|1__12|SGB128778
SRR33750934.140736__1.138427	UniClust90_MEABCEIN01411|1__6|SGB84078
SRR33750934.141535__1.139211	UniRef90_A0A1Q7B8W4|1__6|SGB56640
SRR33750934.142819__1.140475	UniClust90_OOJLFJAP00494|1__6|SGB89423
SRR33750934.143593__1.141237	UniClust90_DPLIHBNC01353|1__10|SGB89725
SRR33750934.143154__1.140807	UniClust90_CHMIEHDJ04510|1__7|SGB56640
SRR33750934.143877__1.141510	UniClust90_JGBJHCMO00011|1__6|SGB133354
SRR33750934.144029__1.141660	UniClust90_JBMBCDML00477|1__5|SGB89725
SRR33750934.143441__1.141089	UniClust90_KJKOKMFD00755|1__4|SGB74789
SRR33750934.144263__1.141892	UniClust90_ELBNJALK00495|1__4|SGB74789
SRR33750934.145235__1.142851	UniClust90_PPJAIDOO01984|1__4|SGB84075
SRR33750934.145626__1.143239	UniClust90_FNPCGKEP01699|1__4|SGB84078
SRR33750934.147333__1.144925	UniClust90_ECOFPDDJ00117|1__4|SGB89423
SRR33750934.147406__1.144996	UniClust90_ECOFPDDJ00117|1__4|SGB89423
SRR33750934.148688__1.146264	UniClust90_KKJOKJHL00262|1__7|SGB86773
SRR33750934.148830__1.146405	UniClust90_IPBGJNGD00190|1__7|SGB89408
SRR33750934.149786__1.147358	UniClust90_GFHGLNMO01409|5__18|SGB133091
SRR33750934.150974__1.148525	UniClust90_IPBGJNGD02139|10__15|SGB89408
SRR33750934.152226__1.149752	UniClust90_DCJCBMEC02310|1__7|SGB122526
SRR33750934.153124__1.150639	UniRef90_A0A2V5RFJ6|1__9|SGB52729
SRR33750934.154189__1.151687	UniClust90_NMNNCACI00975|1__4|SGB86847
SRR33750934.156345__1.153824	UniClust90_OCJAPFEA05758|1__9|SGB125949
SRR33750934.156552__1.154025	UniClust90_DBBCBONN01425|1__21|SGB126432
SRR33750934.157250__1.154718	UniRef90_A0A2V5SKZ0|2__8|SGB52719
SRR33750934.157678__1.155144	UniRef90_A0A1Q4DS32|1__14|SGB16515
SRR33750934.157623__1.155089	UniRef90_A0A1Q4DS32|1__14|SGB16515
SRR33750934.159670__1.157112	UniClust90_OALLKAFI00543|1__7|SGB84078
SRR33750934.159938__1.157377	UniClust90_JHBOFGEP02578|1__6|SGB56638
SRR33750934.162053__1.159459	UniClust90_ODALAGMH01641|1__9|SGB89423
SRR33750934.162424__1.159820	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750934.164069__1.161441	UniClust90_FNPCGKEP00622|14__24|SGB84078
SRR33750934.163649__1.161028	UniClust90_IABCABEO00083|1__6|SGB74789
SRR33750934.168225__1.165532	UniClust90_JHNMEHIJ02294|1__7|SGB56640
SRR33750934.168628__1.165928	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750934.168655__1.165954	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750934.168893__1.166189	UniClust90_PIHLJOEE02612|1__9|SGB84075
SRR33750934.169317__1.166609	UniRef90_A0A1F2XUF3|1__5|SGB89423
SRR33750934.169377__1.166668	UniClust90_BOKHIPMC03210|1__11|SGB130007
SRR33750934.169494__1.166784	UniClust90_EHKFGODG01820|1__8|SGB134112
SRR33750934.169907__1.167191	UniRef90_A0A1Q8B6F9|1__6|SGB17587
SRR33750934.170810__1.168081	UniClust90_GFHGLNMO00611|1__5|SGB133091
SRR33750934.172591__1.169832	UniClust90_EMIDINFL06246|1__10|SGB73712
SRR33750934.172828__1.170063	UniClust90_IDABCFEM00342|1__7|SGB127500
SRR33750934.172740__1.169978	UniClust90_NOMIGGEC00941|1__20|SGB125949
SRR33750934.174231__1.171455	UniClust90_EJAHAFID00708|1__11|SGB130007
SRR33750934.173330__1.170562	UniClust90_FKNELLKK01406|1__3|SGB122683
SRR33750934.174219__1.171443	UniClust90_AEJHOBEL03005|1__4|SGB73699
SRR33750934.174840__1.172058	UniClust90_FIHOKOAF00736|1__4|SGB74789
SRR33750934.175329__1.172539	UniClust90_DCJCBMEC02310|1__7|SGB122526
SRR33750934.176310__1.173505	UniClust90_HJJKGIDI03277|1__5|SGB130045
SRR33750934.177712__1.174877	UniClust90_NOMIGGEC00722|1__16|SGB125949
SRR33750934.177760__1.174925	UniClust90_GIMAHFHH00711|6__12|SGB89408
SRR33750934.178087__1.175249	UniClust90_AKHHIGPA00491|1__8|SGB125699
SRR33750934.178225__1.175384	UniClust90_EJAHAFID02739|1__11|SGB130007
SRR33750934.178310__1.175467	UniClust90_EFEMIJHI00463|1__3|SGB89423
SRR33750934.178589__1.175743	UniClust90_BGDHDLNA01063|1__10|SGB84075
SRR33750934.179107__1.176254	UniClust90_EKCLMAKM02393|1__10|SGB89408
SRR33750934.180437__1.177570	UniClust90_EDBNNBOB00281|1__6|SGB56640
SRR33750934.180672__1.177805	UniClust90_NOMIGGEC02314|1__11|SGB125949
SRR33750934.181925__1.179039	UniClust90_BGDHDLNA04491|1__13|SGB84075
SRR33750934.182896__1.179988	UniRef90_A0A1Q7BFV0|1__5|SGB56640
SRR33750934.183126__1.180216	UniClust90_BNOEINHM01536|1__5|SGB122683
SRR33750934.183154__1.180244	UniClust90_GEHFPKBH00024|1__14|SGB84075
SRR33750934.185378__1.182429	UniRef90_A0A2V8GUA8|1__7|SGB17587
SRR33750934.185516__1.182565	UniClust90_NIILFFCI00215|1__4|SGB89423
SRR33750934.185711__1.182757	UniClust90_KMEALJDO02564|2__7|SGB84078
SRR33750934.185946__1.182984	UniClust90_FECOCFCC00836|1__10|SGB128987
SRR33750934.186006__1.183043	UniClust90_PKCJLHDA00360|1__9|SGB89408
SRR33750934.188217__1.185222	UniClust90_IJHKGIGD02339|1__8|SGB128471
SRR33750934.190265__1.187245	UniClust90_OCJAPFEA03769|1__15|SGB125949
SRR33750934.191468__1.188422	UniClust90_EDNFDLAG01000|1__5|SGB84078
SRR33750934.191474__1.188427	UniClust90_EMIDINFL04345|1__11|SGB73712
SRR33750934.193817__1.190735	UniClust90_HDPFLFPD01100|1__8|SGB174814
SRR33750934.194149__1.191061	UniClust90_DFAEICIF00566|1__12|SGB52719
SRR33750934.194312__1.191223	UniClust90_JKKHKAPH04136|1__7|SGB89408
SRR33750934.194315__1.191226	UniClust90_JKKHKAPH04136|1__7|SGB89408
SRR33750934.194929__1.191834	UniClust90_BOKHIPMC03538|1__5|SGB130007
SRR33750934.195215__1.192115	UniClust90_NECMKPAF05136|1__7|SGB89408
SRR33750934.198189__1.195042	UniClust90_CJJELLGD00985|1__7|SGB84331
SRR33750934.199458__1.196289	UniRef90_UPI00041C3609|1__6|SGB31987
SRR33750934.200050__1.196873	UniRef90_A0A1Q7BDI5|12__16|SGB56640
SRR33750934.200409__1.197225	UniClust90_BGMDAEJF02751|1__8|SGB122526
SRR33750934.200823__1.197634	UniClust90_LGBMFDOL01991|1__13|SGB129206
SRR33750934.201027__1.197837	UniClust90_EEMCGFAP03851|1__10|SGB128685
SRR33750934.202626__1.199410	UniClust90_IJHKGIGD03099|1__7|SGB128471
SRR33750934.202654__1.199437	UniClust90_BKIEHKJF02068|1__7|SGB131913
SRR33750934.203648__1.200413	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750934.203769__1.200534	UniRef90_A0A2V5MTM5|1__3|SGB52714
SRR33750934.204503__1.201260	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750934.207521__1.204231	UniClust90_GIMAHFHH02073|1__9|SGB89408
SRR33750934.207756__1.204464	UniRef90_A0A1Q7B6Z7|1__3|SGB56638
SRR33750934.208256__1.204960	UniClust90_AJLMKGGJ00485|1__4|SGB56638
SRR33750934.208999__1.205688	UniClust90_OPLEJCPF03755|1__10|SGB125949
SRR33750934.209579__1.206261	UniRef90_A0A2V6LK67|1__6|SGB52714
SRR33750934.211380__1.208030	UniClust90_OALLKAFI06042|1__12|SGB84078
SRR33750934.211409__1.208059	UniClust90_EOFGAKMC00313|1__4|SGB84075
SRR33750934.212329__1.208963	UniClust90_KIHGAKFE00925|1__9|SGB128778
SRR33750934.212771__1.209403	UniClust90_IIEDOAEF02264|1__12|SGB128218
SRR33750934.213710__1.210337	UniClust90_BGDHDLNA04274|1__17|SGB84075
SRR33750934.213843__1.210470	UniClust90_BGDHDLNA04617|1__7|SGB84075
SRR33750934.214625__1.211234	UniClust90_EDNFDLAG01054|1__5|SGB84078
SRR33750934.215354__1.211951	UniClust90_GANILFCG00385|1__7|SGB74789
SRR33750934.216007__1.212595	UniClust90_AOMEFECO00986|1__9|SGB133090
SRR33750934.215977__1.212567	UniClust90_JMFJJCJA01564|1__5|SGB130007
SRR33750934.217872__1.214433	UniClust90_IIEDOAEF02864|1__16|SGB128218
SRR33750934.218044__1.214604	UniRef90_A0A2V6DQM2|1__10|SGB22169
SRR33750934.220918__1.217446	UniClust90_EGCAKLJA03609|1__9|SGB128178
SRR33750934.220948__1.217476	UniClust90_NOMIGGEC01038|1__12|SGB125949
SRR33750934.221758__1.218276	UniClust90_PIJGIFJB02756|1__3|SGB89423
SRR33750934.223804__1.220290	UniRef90_A0A1Q7S1W9|1__7|SGB17587
SRR33750934.224027__1.220508	UniClust90_DFFDBJFB00384|1__10|SGB125699
SRR33750934.227160__1.223602	UniRef90_A0A1Q7B6K8|1__6|SGB56640
SRR33750934.227559__1.224000	UniClust90_GJBLDLDM02199|1__6|SGB89423
SRR33750934.227898__1.224336	UniRef90_A0A2V8H0G7|1__4|SGB17587
SRR33750934.229214__1.225634	UniRef90_A0A2V7E0W9|1__8|SGB24061
SRR33750934.229858__1.226267	UniClust90_EJAHAFID02739|1__11|SGB130007
SRR33750934.229496__1.225912	UniClust90_PIHLJOEE02757|1__8|SGB84075
SRR33750934.231091__1.227473	UniClust90_IDPAEINK02248|1__4|SGB89725
SRR33750934.231154__1.227534	UniClust90_LMGIEGHF06438|1__16|SGB135184
SRR33750934.230704__1.227097	UniClust90_DAODNPOA00254|8__15|SGB89725
SRR33750934.231859__1.228230	UniClust90_MDILPPEF00028|1__4|SGB89423
SRR33750934.233152__1.229503	UniClust90_LACEKAON02823|1__9|SGB129874
SRR33750934.233578__1.229925	UniClust90_NOGJJOAE01207|1__11|SGB128677
SRR33750934.233214__1.229565	UniClust90_LACEKAON02823|1__9|SGB129874
SRR33750934.233855__1.230198	UniClust90_MFEMGIFI06320|1__12|SGB31952
SRR33750934.235706__1.232023	UniClust90_FNPCGKEP02888|2__9|SGB84078
SRR33750934.235759__1.232075	UniClust90_AGBJGNAA00057|1__5|SGB74789
SRR33750934.235882__1.232196	UniClust90_KMEALJDO00828|1__9|SGB84078
SRR33750934.236324__1.232634	UniClust90_BOKHIPMC02014|1__6|SGB130007
SRR33750934.238462__1.234738	UniClust90_FFMKDPEP02820|1__6|SGB56104
SRR33750934.240803__1.237056	UniClust90_IABCABEO00380|1__5|SGB74789
SRR33750934.240829__1.237081	UniClust90_BGDHDLNA05938|1__15|SGB84075
SRR33750934.241102__1.237347	UniClust90_HFDFHOBL02255|1__3|SGB74789
SRR33750934.241078__1.237323	UniClust90_CMHDMJOM04481|1__10|SGB56640
SRR33750934.242545__1.238776	UniClust90_PENAMJII00062|1__7|SGB55924
SRR33750934.242473__1.238704	UniClust90_NPONNIIF01990|1__11|SGB125699
SRR33750934.243091__1.239314	UniClust90_OPLEJCPF03510|1__9|SGB125949
SRR33750934.244899__1.241099	UniClust90_LOBFMPNM03353|1__15|SGB110888
SRR33750934.245075__1.241273	UniClust90_CMHDMJOM03877|1__8|SGB56640
SRR33750934.245720__1.241912	UniClust90_FOJGPGMP01771|1__8|SGB133334
SRR33750934.246119__1.242310	UniClust90_BOKHIPMC04551|1__10|SGB130007
SRR33750934.246281__1.242471	UniClust90_IOFPBIHC03172|1__6|SGB130007
SRR33750934.246661__1.242847	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750934.248331__1.244498	UniClust90_EMIDINFL06246|1__10|SGB73712
SRR33750934.248542__1.244706	UniClust90_BHLGKCAN02232|1__6|SGB56640
SRR33750934.249529__1.245678	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750934.253069__1.249181	UniRef90_A0A3N5UXJ7|4__9|SGB74789
SRR33750934.253432__1.249541	UniClust90_DEFNONOM02357|8__12|SGB56640
SRR33750934.253771__1.249876	UniRef90_A0A2A7NC01|11__28|SGB15661
SRR33750934.254242__1.250344	UniClust90_NECMKPAF02114|1__23|SGB89408
SRR33750934.255142__1.251234	UniClust90_JGBJHCMO01037|1__7|SGB133354
SRR33750934.255870__1.251952	UniClust90_EKCLMAKM02273|1__7|SGB89408
SRR33750934.256035__1.252117	UniClust90_ECOHMLGB01307|5__10|SGB56640
SRR33750934.256405__1.252482	UniRef90_A0A2V8H6T5|1__8|SGB17587
SRR33750934.258199__1.254246	UniClust90_DAODNPOA01615|11__19|SGB89725
SRR33750934.259853__1.255887	UniClust90_AKFNKKBB02719|1__14|SGB73712
SRR33750934.260291__1.256322	UniClust90_ENCMJEIO06321|1__19|SGB87004
SRR33750934.259464__1.255500	UniClust90_BOKHIPMC01063|1__5|SGB130007
SRR33750934.261476__1.257493	UniClust90_AOMEFECO00584|3__6|SGB133090
SRR33750934.262052__1.258063	UniClust90_LLIEHLNH01141|5__12|SGB130007
SRR33750934.261970__1.257983	UniClust90_LLDNLLDJ01209|1__12|SGB86683
