SRR33750943.4918__1.4833	UniClust90_MKPDLIIB02020|1__8|SGB131913
SRR33750943.117172__1.114999	UniClust90_ANHDKACD01563|1__4|SGB84076
SRR33750943.117749__1.115571	UniClust90_KMEALJDO01923|1__7|SGB84078
SRR33750943.118803__1.116608	UniClust90_OPLEJCPF03755|1__10|SGB125949
SRR33750943.118920__1.116725	UniClust90_JKONEDMA00306|1__6|SGB130007
SRR33750943.119628__1.117422	UniClust90_HOMJAIDI00249|2__5|SGB89423
SRR33750943.120012__1.117802	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750943.120039__1.117829	UniRef90_A0A1Q7J6B9|1__4|SGB84075
SRR33750943.120257__1.118047	UniClust90_MEABCEIN00732|1__4|SGB84078
SRR33750943.120995__1.118773	UniClust90_OFEPGLCJ00189|1__11|SGB132218
SRR33750943.123267__1.121005	UniClust90_NHHHKJJE03544|1__9|SGB125949
SRR33750943.124807__1.122529	UniClust90_EDBNNBOB00281|1__6|SGB56640
SRR33750943.125046__1.122765	UniClust90_LLIEHLNH00026|1__10|SGB130007
SRR33750943.126652__1.124338	UniRef90_A0A2C3KU32|2__6|SGB7708
SRR33750943.127169__1.124844	UniClust90_ECOFPDDJ00117|1__4|SGB89423
SRR33750943.127283__1.124955	UniClust90_HJKNIEHA04162|1__7|SGB89408
SRR33750943.127937__1.125597	UniClust90_LEJLODHJ01556|1__9|SGB89423
SRR33750943.129768__1.127408	UniClust90_NHHHKJJE03393|1__9|SGB125949
SRR33750943.130159__1.127794	UniClust90_BDNGBGFH01303|5__15|SGB125634
SRR33750943.130179__1.127814	UniClust90_JHHAJKKH05828|1__18|SGB154096
SRR33750943.131610__1.129221	UniClust90_DMCDKPDB00905|1__7|SGB89423
SRR33750943.132099__1.129700	UniClust90_GJEIHIOJ00691|1__11|SGB122526
SRR33750943.132167__1.129766	UniClust90_JAIHKEGN01559|1__4|SGB74789
SRR33750943.134595__1.132158	UniClust90_CMHDMJOM04887|1__5|SGB56640
SRR33750943.135375__1.132925	UniClust90_JMFJJCJA03385|1__6|SGB130007
SRR33750943.136209__1.133746	UniRef90_A0A2V6DW23|1__8|SGB22169
SRR33750943.136861__1.134383	UniClust90_IDPAEINK02538|1__6|SGB89725
SRR33750943.138925__1.136418	UniClust90_IEHCMHOF00811|1__3|SGB56638
SRR33750943.140538__1.138012	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750943.141634__1.139099	UniRef90_A0A357CJW6|1__5|SGB89423
SRR33750943.142455__1.139906	UniClust90_OCJAPFEA03769|1__15|SGB125949
SRR33750943.142749__1.140195	UniClust90_HGJNCPHJ00274|5__12|SGB125949
SRR33750943.143971__1.141396	UniClust90_JKKHKAPH00965|7__20|SGB89408
SRR33750943.144996__1.142405	UniClust90_HDGMGAGN01242|1__5|SGB74789
SRR33750943.145718__1.143115	UniClust90_BOKHIPMC05587|1__8|SGB130007
SRR33750943.147070__1.144447	UniClust90_NHHHKJJE01743|1__9|SGB125949
SRR33750943.147574__1.144943	UniClust90_EKPBNKCG01719|1__9|SGB128899
SRR33750943.148652__1.146001	UniClust90_NHHHKJJE02678|1__9|SGB125949
SRR33750943.148794__1.146140	UniClust90_NHHHKJJE02678|1__9|SGB125949
SRR33750943.151874__1.149162	UniClust90_PKMOJOJK02584|1__7|SGB84078
SRR33750943.152732__1.150010	UniClust90_EKCLMAKM04097|1__10|SGB89408
SRR33750943.153247__1.150519	UniClust90_GANILFCG01315|1__8|SGB74789
SRR33750943.153265__1.150537	UniRef90_A0A3S0E4V1|4__11|SGB89408
SRR33750943.155805__1.153039	UniClust90_IABCABEO01254|1__6|SGB74789
SRR33750943.156895__1.154111	UniClust90_LDGOLCGN02925|1__4|SGB127277
SRR33750943.160229__1.157401	UniClust90_CDCDKIIJ01453|1__11|SGB84331
SRR33750943.160683__1.157849	UniRef90_A0A2V5YXC2|1__8|SGB52714
SRR33750943.161307__1.158464	UniClust90_FNPCGKEP05217|4__9|SGB84078
SRR33750943.161326__1.158483	UniClust90_FNPCGKEP05217|4__9|SGB84078
SRR33750943.163995__1.161103	UniRef90_A0A0R3M9A8|1__6|SGB11343
SRR33750943.165040__1.162131	UniClust90_IGKPANEM00849|1__14|SGB128987
SRR33750943.167200__1.164258	UniClust90_CJJELLGD00739|1__4|SGB84331
SRR33750943.168553__1.165587	UniRef90_UPI0010ABA49B|1__23|SGB55695
SRR33750943.169257__1.166274	UniClust90_DIBLBONP01299|1__8|SGB84078
SRR33750943.170397__1.167396	UniClust90_GMKONCKM00188|1__7|SGB89423
SRR33750943.171650__1.168634	UniClust90_LLHLEBOE01853|1__9|SGB89423
SRR33750943.176990__1.173889	UniClust90_JCMEFMGF03384|1__9|SGB74780
SRR33750943.177699__1.174589	UniClust90_JMFJJCJA03372|1__11|SGB130007
SRR33750943.179178__1.176048	UniClust90_DPLIHBNC00377|1__16|SGB89725
SRR33750943.184179__1.180976	UniClust90_EJAHAFID03066|1__6|SGB130007
SRR33750943.184850__1.181636	UniRef90_A0A1Q7B5E0|5__12|SGB56640
SRR33750943.185492__1.182268	UniClust90_PICJGFGP02237|1__6|SGB89423
SRR33750943.185801__1.182577	UniClust90_DJFHEFAJ02190|1__3|SGB89423
SRR33750943.185895__1.182671	UniClust90_HGJNCPHJ01100|1__9|SGB125949
SRR33750943.186720__1.183487	UniClust90_DAODNPOA00539|1__7|SGB89725
SRR33750943.187208__1.183964	UniClust90_BOKHIPMC02909|1__7|SGB130007
SRR33750943.187956__1.184703	UniClust90_OCJAPFEA01889|1__12|SGB125949
SRR33750943.188134__1.184879	UniClust90_OCJAPFEA03769|1__15|SGB125949
SRR33750943.190143__1.186861	UniClust90_PKCJLHDA00304|1__11|SGB89408
SRR33750943.191351__1.188051	UniClust90_KIHGAKFE00895|1__8|SGB128778
SRR33750943.191410__1.188109	UniClust90_AHIOBOCM00466|1__3|SGB56638
SRR33750943.191620__1.188318	UniClust90_GIDCBJMF00150|1__12|SGB134112
SRR33750943.192729__1.189406	UniClust90_HGJNCPHJ02720|1__8|SGB125949
SRR33750943.193222__1.189892	UniClust90_MKPDLIIB00323|1__13|SGB131913
SRR33750943.193837__1.190497	UniClust90_DJBDGBNB01191|5__11|SGB89725
SRR33750943.194029__1.190688	UniClust90_EBGAMEMI01603|6__15|SGB133121
SRR33750943.195472__1.192108	UniClust90_IFHFCMJI00540|1__7|SGB125699
SRR33750943.197045__1.193661	UniClust90_OAHKOOFD02431|1__5|SGB122526
SRR33750943.196857__1.193475	UniClust90_DPLIHBNC01385|4__12|SGB89725
SRR33750943.198825__1.195413	UniClust90_CKLAELPF00405|1__6|SGB128178
SRR33750943.199772__1.196343	UniClust90_NECMKPAF05736|1__11|SGB89408
SRR33750943.202326__1.198855	UniClust90_OAHKOOFD02431|1__5|SGB122526
SRR33750943.203030__1.199552	UniClust90_DEFNONOM00525|1__6|SGB56640
SRR33750943.204816__1.201309	UniClust90_JKONEDMA01815|1__9|SGB130007
SRR33750943.204896__1.201389	UniClust90_HJKNIEHA00328|1__16|SGB89408
SRR33750943.205153__1.201641	UniClust90_GIMAHFHH02931|1__9|SGB89408
SRR33750943.204645__1.201139	UniClust90_JKONEDMA01815|1__9|SGB130007
SRR33750943.206613__1.203081	UniClust90_ECOHMLGB01426|1__5|SGB56640
SRR33750943.208413__1.204849	UniClust90_JPKEBEJA00777|14__21|SGB128668
SRR33750943.208339__1.204777	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.210848__1.207252	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.211281__1.207680	UniClust90_KCEKLPAN00505|1__4|SGB74789
SRR33750943.211809__1.208206	UniClust90_DIBLBONP00756|1__7|SGB84078
SRR33750943.213664__1.210038	UniClust90_IDPAEINK00446|1__5|SGB89725
SRR33750943.215919__1.212271	UniRef90_A0A1B1AP85|1__12|SGB176310
SRR33750943.217315__1.213651	UniClust90_EJFOFLBH00725|1__9|SGB133091
SRR33750943.217512__1.213846	UniClust90_MEABCEIN00532|1__6|SGB84078
SRR33750943.217119__1.213457	UniClust90_NOMIGGEC01493|1__17|SGB125949
SRR33750943.218212__1.214531	UniClust90_BHLGKCAN02368|1__5|SGB56640
SRR33750943.218289__1.214606	UniClust90_MEABCEIN00532|1__6|SGB84078
SRR33750943.218370__1.214686	UniClust90_IABCABEO02120|1__4|SGB74789
SRR33750943.218651__1.214963	UniClust90_AGBJGNAA00277|1__8|SGB74789
SRR33750943.218826__1.215137	UniClust90_OPLEJCPF05522|1__14|SGB125949
SRR33750943.220499__1.216787	UniClust90_NHHHKJJE00195|1__9|SGB125949
SRR33750943.220117__1.216414	UniClust90_OPLEJCPF05522|1__14|SGB125949
SRR33750943.221094__1.217375	UniClust90_IDPAEINK00794|15__25|SGB89725
SRR33750943.221149__1.217429	UniClust90_FFPHGKCO00740|1__4|SGB74789
SRR33750943.222142__1.218414	UniClust90_FLDCIHDP02386|4__7|SGB89410
SRR33750943.222577__1.218841	UniClust90_IPBGJNGD02139|10__15|SGB89408
SRR33750943.222553__1.218819	UniRef90_A0A0R3KMM6|1__14|SGB11346
SRR33750943.223854__1.220103	UniClust90_EJHPGLNK01677|1__5|SGB89423
SRR33750943.224355__1.220598	UniClust90_FNPCGKEP01550|3__9|SGB84078
SRR33750943.224840__1.221073	UniClust90_AHMCBMKF01403|1__6|SGB89423
SRR33750943.228430__1.224616	UniClust90_OCJAPFEA01889|1__12|SGB125949
SRR33750943.228103__1.224293	UniClust90_IDPAEINK00794|15__25|SGB89725
SRR33750943.230223__1.226384	UniClust90_CMHDMJOM04887|1__5|SGB56640
SRR33750943.230574__1.226731	UniClust90_HABHGKAJ00424|1__7|SGB122608
SRR33750943.230793__1.226945	UniClust90_ICCKENGO01023|3__11|SGB89722
SRR33750943.233295__1.229405	UniClust90_ADGGMJFC00353|1__11|SGB74789
SRR33750943.233672__1.229775	UniClust90_ALPEOPJM01568|1__7|SGB84331
SRR33750943.233641__1.229745	UniClust90_DFFDBJFB00048|1__12|SGB125699
SRR33750943.234050__1.230151	UniRef90_A0A345ZZQ3|1__8|SGB89408
SRR33750943.235128__1.231218	UniClust90_JAIHKEGN01559|1__4|SGB74789
SRR33750943.236194__1.232275	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.236603__1.232672	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.237917__1.233967	UniClust90_EJACLGKJ00517|1__11|SGB133209
SRR33750943.238776__1.234820	UniClust90_HGAMACDH00002|1__8|SGB128778
SRR33750943.238864__1.234907	UniClust90_AOMEFECO01387|5__13|SGB133090
SRR33750943.238731__1.234775	UniClust90_AOMEFECO01387|5__13|SGB133090
SRR33750943.239523__1.235551	UniClust90_FNPCGKEP03938|1__6|SGB84078
SRR33750943.240532__1.236548	UniClust90_HGJNCPHJ03935|1__11|SGB125949
SRR33750943.240625__1.236640	UniClust90_HGJNCPHJ03935|1__11|SGB125949
SRR33750943.241106__1.237114	UniClust90_NPONNIIF01990|1__11|SGB125699
SRR33750943.241722__1.237719	UniClust90_IABCABEO02227|1__8|SGB74789
SRR33750943.242943__1.238922	UniClust90_EKCLMAKM02391|1__11|SGB89408
SRR33750943.243425__1.239396	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.248551__1.244461	UniClust90_HGJNCPHJ03120|1__8|SGB125949
SRR33750943.248538__1.244448	UniClust90_HGJNCPHJ03120|1__8|SGB125949
SRR33750943.249743__1.245639	UniClust90_JEJGNOAL00298|1__4|SGB129072
SRR33750943.250996__1.246868	UniClust90_PJKCPLGD00178|2__5|SGB89423
SRR33750943.252137__1.247995	UniClust90_EKCLMAKM02391|1__11|SGB89408
SRR33750943.254367__1.250200	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750943.256246__1.252058	UniClust90_OPLEJCPF05522|1__14|SGB125949
SRR33750943.256777__1.252587	UniClust90_BOKHIPMC01922|1__17|SGB130007
SRR33750943.257629__1.253426	UniClust90_LLIEHLNH03288|1__6|SGB130007
SRR33750943.258308__1.254096	UniClust90_NHHHKJJE03728|1__12|SGB125949
SRR33750943.257628__1.253425	UniClust90_NECMKPAF02114|1__23|SGB89408
SRR33750943.258511__1.254296	UniClust90_EGGMCINA03504|1__14|SGB131808
SRR33750943.258792__1.254573	UniClust90_ADGGMJFC00353|1__11|SGB74789
SRR33750943.260311__1.256074	UniRef90_A0A0Q7TLA0|1__9|SGB89408
SRR33750943.261343__1.257095	UniRef90_A0A1Q8AMI6|1__9|SGB56062
SRR33750943.263066__1.258796	UniClust90_NOMIGGEC02350|1__10|SGB125949
SRR33750943.263823__1.259547	UniClust90_JHNMEHIJ03596|2__6|SGB56640
SRR33750943.264893__1.260605	UniClust90_ODJMAFLL00589|1__13|SGB22169
SRR33750943.266017__1.261715	UniClust90_JKONEDMA01352|1__12|SGB130007
SRR33750943.267416__1.263093	UniClust90_PIJGIFJB00161|1__8|SGB89423
SRR33750943.268050__1.263722	UniClust90_MDILPPEF00618|1__5|SGB89423
SRR33750943.268243__1.263912	UniClust90_BHLGKCAN05823|1__4|SGB56640
SRR33750943.268879__1.264543	UniClust90_FJPBOFJK01686|1__9|SGB128677
SRR33750943.269372__1.265031	UniClust90_PKMOJOJK03870|1__6|SGB84078
SRR33750943.270383__1.266029	UniClust90_BOKHIPMC04272|1__7|SGB130007
SRR33750943.270681__1.266324	UniClust90_NOMIGGEC01433|1__12|SGB125949
SRR33750943.271644__1.267275	UniClust90_JKKHKAPH04136|1__7|SGB89408
SRR33750943.272324__1.267937	UniClust90_JFHABDFE02670|4__10|SGB84076
SRR33750943.272437__1.268047	UniClust90_CHMIEHDJ02211|1__6|SGB56640
SRR33750943.272664__1.268267	UniClust90_NOHGIMHJ01038|1__3|SGB74789
SRR33750943.275349__1.270917	UniClust90_AICCGNAA02470|1__12|SGB129206
SRR33750943.276572__1.272127	UniClust90_NECMKPAF03679|1__11|SGB89408
SRR33750943.277750__1.273292	UniClust90_HKBIJJBK04832|6__22|SGB110990
SRR33750943.277730__1.273272	UniClust90_OCJAPFEA01948|1__11|SGB125949
SRR33750943.279228__1.274746	UniClust90_OAHKOOFD00160|1__4|SGB122526
SRR33750943.280215__1.275720	UniClust90_FECOCFCC03701|1__9|SGB128987
SRR33750943.279401__1.274916	UniClust90_CBDIOHJF00242|1__5|SGB89725
SRR33750943.280545__1.276044	UniClust90_OALLKAFI02755|1__10|SGB84078
SRR33750943.280791__1.276286	UniClust90_OPLEJCPF00541|1__18|SGB125949
SRR33750943.282303__1.277775	UniClust90_JMJHPHJK00103|1__7|SGB134112
SRR33750943.283447__1.278902	UniRef90_A0A1Q7BEM9|1__6|SGB56640
SRR33750943.285394__1.280833	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.288453__1.283866	UniClust90_ALPEOPJM00947|1__6|SGB84331
SRR33750943.288526__1.283938	UniClust90_FPGDCGCP01935|1__4|SGB89423
SRR33750943.288663__1.284073	UniClust90_IGKPANEM01289|1__14|SGB128987
SRR33750943.288956__1.284361	UniClust90_PKCJLHDA00360|1__9|SGB89408
SRR33750943.290729__1.286116	UniRef90_A0A0D7NWC9|1__9|SGB11332
SRR33750943.291086__1.286469	UniClust90_PPJAIDOO00352|1__6|SGB84075
SRR33750943.292843__1.288198	UniClust90_DPJLILCC01391|1__9|SGB89725
SRR33750943.294032__1.289378	UniClust90_KAHJAFCN02495|1__9|SGB133052
SRR33750943.294402__1.289743	UniClust90_OOJDGJFL01198|5__10|SGB74789
SRR33750943.297600__1.292913	UniClust90_IOFPBIHC03172|1__6|SGB130007
SRR33750943.296218__1.291543	UniClust90_NHHHKJJE02678|1__9|SGB125949
SRR33750943.297973__1.293281	UniClust90_KIHGAKFE02425|1__8|SGB128778
SRR33750943.301882__1.297148	UniClust90_OALLKAFI02340|4__8|SGB84078
SRR33750943.302347__1.297605	UniClust90_MDILPPEF00559|1__3|SGB89423
SRR33750943.303573__1.298809	UniClust90_DCOEIGHC00333|1__3|SGB89423
SRR33750943.303556__1.298792	UniClust90_IDPAEINK01984|1__13|SGB89725
SRR33750943.303231__1.298475	UniRef90_A0A2V6AX47|1__11|SGB52714
SRR33750943.303879__1.299112	UniClust90_DCOEIGHC00798|1__4|SGB89423
SRR33750943.303927__1.299159	UniClust90_DCJCBMEC01639|2__7|SGB122526
SRR33750943.304133__1.299364	UniClust90_ADGGMJFC00353|1__11|SGB74789
SRR33750943.304182__1.299413	UniClust90_ADGGMJFC00353|1__11|SGB74789
SRR33750943.305941__1.301143	UniClust90_DCOEIGHC00798|1__4|SGB89423
SRR33750943.305595__1.300802	UniClust90_CDCDKIIJ00076|1__10|SGB84331
SRR33750943.306012__1.301213	UniClust90_NOMIGGEC01493|1__17|SGB125949
SRR33750943.307696__1.302881	UniClust90_GOIHAGCB02624|1__8|SGB129202
SRR33750943.307710__1.302895	UniClust90_GOIHAGCB02624|1__8|SGB129202
SRR33750943.308134__1.303313	UniClust90_CHMIEHDJ02503|1__6|SGB56640
SRR33750943.308597__1.303771	UniClust90_OPLEJCPF02846|1__11|SGB125949
SRR33750943.310068__1.305221	UniClust90_NECMKPAF00950|1__14|SGB89408
SRR33750943.311385__1.306525	UniClust90_EPBEGOAF05266|1__10|SGB176068
SRR33750943.311916__1.307050	UniClust90_NHHHKJJE03592|1__9|SGB125949
SRR33750943.312408__1.307532	UniClust90_NHHHKJJE03592|1__9|SGB125949
SRR33750943.313446__1.308556	UniClust90_ALKPPALK00423|1__12|SGB89410
SRR33750943.315201__1.310286	UniClust90_FNPCGKEP01305|1__7|SGB84078
SRR33750943.315471__1.310555	UniClust90_MOPOFHCP03186|1__12|SGB89408
SRR33750943.317633__1.312691	UniClust90_JOMGGAEL00115|1__3|SGB74789
SRR33750943.318302__1.313351	UniClust90_EJFOFLBH01691|2__7|SGB133091
SRR33750943.318791__1.313830	UniClust90_OOJDGJFL00994|1__11|SGB74789
SRR33750943.320005__1.315024	UniClust90_CAGCLOCO00696|7__13|SGB89423
SRR33750943.320262__1.315281	UniClust90_HGJNCPHJ01094|1__14|SGB125949
SRR33750943.320494__1.315508	UniClust90_CBNLCMFD01147|2__8|SGB74789
SRR33750943.320068__1.315087	UniClust90_PJKCPLGD00328|1__5|SGB89423
SRR33750943.320559__1.315573	UniClust90_OPLEJCPF02170|1__10|SGB125949
SRR33750943.320774__1.315786	UniClust90_LMGOGHNA02110|1__7|SGB74789
SRR33750943.321191__1.316194	UniClust90_PCFEFNCA02526|1__9|SGB89408
SRR33750943.322010__1.317003	UniClust90_KKDIGBNC01206|1__6|SGB74789
SRR33750943.322043__1.317036	UniClust90_IGKPANEM01098|1__13|SGB128987
SRR33750943.322561__1.317546	UniClust90_GKMCGFLC01216|1__6|SGB133052
SRR33750943.322488__1.317473	UniClust90_ALADKHLP00123|1__7|SGB89423
SRR33750943.324463__1.319406	UniClust90_CENPGEFH03035|1__8|SGB131987
SRR33750943.324748__1.319684	UniClust90_MHJDNOKO00550|1__10|SGB128178
SRR33750943.325428__1.320342	UniClust90_EKCLMAKM02067|1__7|SGB89408
SRR33750943.325763__1.320666	UniClust90_JKKHKAPH04849|1__8|SGB89408
SRR33750943.326124__1.321016	UniClust90_NMMEDCHE00382|2__8|SGB89423
