SRR33750947.51__1.51	UniRef90_UPI0004982413|1__12|SGB31998
SRR33750947.77950__1.76617	UniClust90_DAODNPOA01615|5__9|SGB89725
SRR33750947.78269__1.76932	UniClust90_KKDIGBNC01287|1__3|SGB74789
SRR33750947.78690__1.77342	UniClust90_OOJDGJFL02126|1__6|SGB74789
SRR33750947.78769__1.77421	UniClust90_CHLBPEBB01456|1__13|SGB89725
SRR33750947.78793__1.77445	UniClust90_CMHDMJOM04085|1__6|SGB56640
SRR33750947.78805__1.77457	UniClust90_CMHDMJOM04085|1__6|SGB56640
SRR33750947.78898__1.77545	UniClust90_GPDICDPN01528|1__5|SGB89423
SRR33750947.80233__1.78858	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750947.80640__1.79260	UniClust90_OPLEJCPF04120|1__8|SGB125949
SRR33750947.81126__1.79732	UniClust90_CMHDMJOM02010|1__6|SGB56640
SRR33750947.81347__1.79950	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750947.83131__1.81701	UniClust90_EJAHAFID04099|1__9|SGB130007
SRR33750947.83680__1.82239	UniClust90_KMEALJDO01829|1__5|SGB84078
SRR33750947.84335__1.82882	UniClust90_PIHLJOEE00225|1__6|SGB84075
SRR33750947.84685__1.83226	UniClust90_PICJGFGP02237|1__6|SGB89423
SRR33750947.85119__1.83649	UniClust90_IOFPBIHC00603|1__6|SGB130007
SRR33750947.85125__1.83655	UniClust90_IOFPBIHC00603|1__6|SGB130007
SRR33750947.87186__1.85681	UniClust90_EDNFDLAG02089|1__15|SGB84078
SRR33750947.88575__1.87048	UniClust90_GMEAMNGB00164|1__13|SGB134112
SRR33750947.88631__1.87100	UniClust90_DPLIHBNC01543|1__15|SGB89725
SRR33750947.89462__1.87915	UniClust90_GDFOBPMK01117|1__6|SGB89410
SRR33750947.89786__1.88237	UniClust90_JINICEGA01527|1__8|SGB89423
SRR33750947.89648__1.88100	UniClust90_JINICEGA01527|1__8|SGB89423
SRR33750947.91644__1.90068	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750947.92308__1.90718	UniRef90_A0A2V5UJ18|1__3|SGB52710
SRR33750947.93844__1.92229	UniRef90_A0A1Q7BFX1|3__9|SGB56640
SRR33750947.94698__1.93064	UniRef90_UPI0004291C78|1__23|SGB31987
SRR33750947.95039__1.93399	UniClust90_OCJAPFEA01311|1__9|SGB125949
SRR33750947.95135__1.93493	UniRef90_A0A3D5DSM3|1__7|SGB130007
SRR33750947.95158__1.93516	UniClust90_OIPOEBPA02071|1__9|SGB84075
SRR33750947.95756__1.94110	UniClust90_EJFOFLBH00818|4__7|SGB133091
SRR33750947.96221__1.94571	UniClust90_LLIEHLNH03555|1__6|SGB130007
SRR33750947.97737__1.96067	UniClust90_ODALAGMH01223|1__5|SGB89423
SRR33750947.100472__1.98769	UniRef90_A0A357CJ80|2__5|SGB133091
SRR33750947.101039__1.99325	UniClust90_OPLEJCPF02386|1__11|SGB125949
SRR33750947.100896__1.99185	UniClust90_OBEJBAOE03087|1__14|SGB128218
SRR33750947.102426__1.100696	UniClust90_FIHOKOAF00736|1__4|SGB74789
SRR33750947.102509__1.100778	UniClust90_OCJAPFEA06089|1__9|SGB125949
SRR33750947.103073__1.101336	UniClust90_OECKFAOL00818|1__3|SGB89423
SRR33750947.105098__1.103335	UniClust90_NOMIGGEC01921|1__15|SGB125949
SRR33750947.105524__1.103751	UniClust90_NNEGPIJI01791|1__8|SGB127159
SRR33750947.105385__1.103618	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750947.107376__1.105583	UniClust90_DPLIHBNC01353|1__10|SGB89725
SRR33750947.107871__1.106070	UniClust90_GEHFPKBH00024|1__14|SGB84075
SRR33750947.108329__1.106523	UniClust90_IDPAEINK00641|1__6|SGB89725
SRR33750947.108709__1.106899	UniClust90_HGJNCPHJ05097|1__12|SGB125949
SRR33750947.109944__1.108120	UniClust90_OPLEJCPF03046|1__11|SGB125949
SRR33750947.110207__1.108377	UniClust90_GEHFPKBH00024|1__14|SGB84075
SRR33750947.111914__1.110058	UniClust90_PJKCPLGD01524|1__3|SGB89423
SRR33750947.112038__1.110178	UniClust90_BDGBANDJ01288|1__10|SGB127159
SRR33750947.113187__1.111314	UniRef90_A0A1Q7BK40|1__5|SGB56640
SRR33750947.112781__1.110913	UniClust90_OIPOEBPA02933|1__6|SGB84075
SRR33750947.113877__1.111993	UniRef90_A0A1Q7B4C1|1__9|SGB56640
SRR33750947.115574__1.113670	UniClust90_KMEALJDO01266|1__4|SGB84078
SRR33750947.116995__1.115074	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750947.117041__1.115119	UniClust90_JBMBCDML01525|2__15|SGB89725
SRR33750947.117767__1.115835	UniClust90_NIILFFCI01616|1__5|SGB89423
SRR33750947.118643__1.116692	UniClust90_OFJJKHAK03052|1__4|SGB84078
SRR33750947.118935__1.116981	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.119221__1.117262	UniClust90_LLIEHLNH02657|1__8|SGB130007
SRR33750947.122012__1.119991	UniClust90_ACDABMLJ00871|1__7|SGB133090
SRR33750947.122640__1.120605	UniClust90_CBDIOHJF00849|4__13|SGB89725
SRR33750947.121995__1.119974	UniRef90_A0A1G8I8D9|11__23|SGB16422
SRR33750947.123016__1.120976	UniClust90_LGBMFDOL02521|1__14|SGB129206
SRR33750947.123216__1.121173	UniClust90_CHLBPEBB01456|1__13|SGB89725
SRR33750947.123921__1.121872	UniClust90_DAPCNGMP01163|1__3|SGB133334
SRR33750947.123743__1.121696	UniRef90_A0A1Q7BJK5|1__10|SGB73517
SRR33750947.124113__1.122061	UniClust90_HGJNCPHJ03485|1__9|SGB125949
SRR33750947.124545__1.122488	UniClust90_JNCMEBND02693|1__9|SGB73754
SRR33750947.125956__1.123883	UniRef90_A0A1Q7BFX1|3__9|SGB56640
SRR33750947.125700__1.123630	UniRef90_A0A2V6DPD2|1__8|SGB22169
SRR33750947.127596__1.125499	UniClust90_KMEALJDO01266|1__4|SGB84078
SRR33750947.127990__1.125885	UniClust90_BOKHIPMC01063|1__5|SGB130007
SRR33750947.129353__1.127235	UniClust90_FNPCGKEP04598|3__9|SGB84078
SRR33750947.130391__1.128262	UniClust90_AJOJABBL00098|1__4|SGB89423
SRR33750947.130470__1.128341	UniRef90_A0A1Q7B3E4|1__8|SGB56638
SRR33750947.131533__1.129385	UniClust90_MOPOFHCP01213|1__7|SGB89408
SRR33750947.131901__1.129747	UniRef90_A0A1G8I8D9|11__23|SGB16422
SRR33750947.132842__1.130673	UniClust90_PJKCPLGD00823|1__5|SGB89423
SRR33750947.133908__1.131726	UniClust90_FNPCGKEP02384|1__7|SGB84078
SRR33750947.134750__1.132560	UniRef90_A0A2V8KQ88|1__3|SGB17587
SRR33750947.134941__1.132747	UniClust90_HGAMACDH01567|1__14|SGB128778
SRR33750947.134968__1.132774	UniClust90_NNEGPIJI03093|1__13|SGB127159
SRR33750947.135231__1.133036	UniRef90_A0A1G8I8D9|11__23|SGB16422
SRR33750947.138385__1.136146	UniClust90_ONEJNDKA00651|1__7|SGB89423
SRR33750947.139082__1.136835	UniClust90_HGJNCPHJ04381|1__18|SGB125949
SRR33750947.139546__1.137287	UniClust90_NHHHKJJE00160|1__13|SGB125949
SRR33750947.139260__1.137010	UniClust90_EHIAFBHG01547|1__11|SGB128778
SRR33750947.139751__1.137491	UniClust90_EHIAFBHG00778|1__7|SGB128778
SRR33750947.139753__1.137493	UniClust90_IBMDDACE00099|1__12|SGB128778
SRR33750947.139788__1.137527	UniClust90_KIHGAKFE01855|1__23|SGB128778
SRR33750947.140298__1.138030	UniClust90_CHLBPEBB01871|1__3|SGB89725
SRR33750947.140431__1.138160	UniClust90_OOJDGJFL01890|1__6|SGB74789
SRR33750947.141560__1.139277	UniClust90_PDIGHKLF02491|1__8|SGB86769
SRR33750947.142643__1.140349	UniClust90_JGOJDCLB02860|1__22|SGB83560
SRR33750947.145163__1.142830	UniClust90_LLIEHLNH02423|1__9|SGB130007
SRR33750947.145337__1.143000	UniClust90_MDGCCGDH01361|1__8|SGB56640
SRR33750947.144959__1.142630	UniRef90_A0A353YEG8|1__3|SGB89423
SRR33750947.147467__1.145102	UniClust90_DPLIHBNC01542|2__6|SGB89725
SRR33750947.148229__1.145858	UniClust90_OCJAPFEA05578|1__10|SGB125949
SRR33750947.148725__1.146342	UniClust90_HGJNCPHJ04504|1__8|SGB125949
SRR33750947.149075__1.146689	UniClust90_LJMOGHMP00393|1__8|SGB128778
SRR33750947.149374__1.146985	UniClust90_IOFPBIHC03389|1__5|SGB130007
SRR33750947.150490__1.148089	UniClust90_NHHHKJJE00275|1__12|SGB125949
SRR33750947.153872__1.151430	UniRef90_A0A1Q7B3L9|1__5|SGB56640
SRR33750947.154043__1.151600	UniClust90_GEHFPKBH03669|1__6|SGB84075
SRR33750947.154156__1.151712	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.154246__1.151800	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.153886__1.151444	UniRef90_A0A1Q7B3L9|1__5|SGB56640
SRR33750947.154511__1.152063	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750947.155468__1.153017	UniClust90_NHHHKJJE01039|1__12|SGB125949
SRR33750947.155644__1.153189	UniClust90_PKMOJOJK04439|1__7|SGB84078
SRR33750947.156202__1.153735	UniClust90_DPJLILCC00136|1__18|SGB89725
SRR33750947.157272__1.154787	UniClust90_IPBGJNGD00190|1__7|SGB89408
SRR33750947.157384__1.154898	UniClust90_OCJAPFEA01058|1__10|SGB125949
SRR33750947.157741__1.155249	UniClust90_IDPAEINK02024|1__16|SGB89725
SRR33750947.157734__1.155242	UniClust90_NHINAJKP01468|1__16|SGB128201
SRR33750947.157356__1.154870	UniRef90_A0A2V8H1W6|1__20|SGB17587
SRR33750947.159617__1.157106	UniRef90_UPI00101CF730|5__20|SGB30169
SRR33750947.161071__1.158545	UniClust90_HGJNCPHJ04583|1__12|SGB125949
SRR33750947.162680__1.160136	UniClust90_DJBDGBNB00607|1__6|SGB89725
SRR33750947.163540__1.160986	UniClust90_MEEHGGHD00683|1__6|SGB127159
SRR33750947.164036__1.161477	UniClust90_JMFJJCJA00050|1__6|SGB130007
SRR33750947.164556__1.161984	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750947.164881__1.162302	UniClust90_DPJLILCC01622|1__9|SGB89725
SRR33750947.165759__1.163170	UniClust90_HDDMLDIO00843|1__6|SGB74789
SRR33750947.165730__1.163142	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.166819__1.164212	UniClust90_KIHGAKFE01694|1__13|SGB128778
SRR33750947.167149__1.164538	UniClust90_EHKFGODG01106|1__10|SGB134112
SRR33750947.167467__1.164854	UniClust90_CHLBPEBB02614|1__7|SGB89725
SRR33750947.166991__1.164384	UniRef90_A0A1Q7B755|1__5|SGB56640
SRR33750947.167883__1.165263	UniRef90_A0A3D5DSW4|1__8|SGB130007
SRR33750947.169339__1.166697	UniClust90_IOFPBIHC03763|1__9|SGB130007
SRR33750947.169829__1.167173	UniClust90_JMFJJCJA01029|1__6|SGB130007
SRR33750947.170735__1.168071	UniRef90_A0A3N5RR47|9__13|SGB74789
SRR33750947.171422__1.168744	UniClust90_IPBGJNGD02238|1__11|SGB89408
SRR33750947.171721__1.169041	UniClust90_NHHHKJJE01449|1__10|SGB125949
SRR33750947.171649__1.168970	UniClust90_NHHHKJJE01449|1__10|SGB125949
SRR33750947.172485__1.169793	UniClust90_BKIEHKJF00272|1__6|SGB131913
SRR33750947.173862__1.171143	UniClust90_HGJNCPHJ02354|1__13|SGB125949
SRR33750947.173958__1.171239	UniClust90_EDFLJBLB01299|1__5|SGB130045
SRR33750947.175100__1.172365	UniClust90_DCJCBMEC00068|1__6|SGB122526
SRR33750947.175136__1.172400	UniClust90_PKCJLHDA01307|1__12|SGB89408
SRR33750947.175758__1.173013	UniClust90_DCOEIGHC00639|1__6|SGB89423
SRR33750947.175920__1.173172	UniClust90_MJJDJADB02051|1__16|SGB130188
SRR33750947.176292__1.173538	UniRef90_A0A1Q7B562|1__6|SGB56640
SRR33750947.176888__1.174126	UniClust90_ANKLIGBF01611|1__6|SGB133334
SRR33750947.177024__1.174260	UniClust90_BOKHIPMC05186|1__5|SGB130007
SRR33750947.178102__1.175329	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.178202__1.175427	UniClust90_BKEMCFBC02123|1__7|SGB131913
SRR33750947.178240__1.175463	UniClust90_FNPCGKEP01699|1__4|SGB84078
SRR33750947.179327__1.176538	UniClust90_LJMOGHMP00580|1__13|SGB128778
SRR33750947.178977__1.176192	UniClust90_LJMOGHMP00580|1__13|SGB128778
SRR33750947.180420__1.177619	UniClust90_CENPGEFH01002|1__12|SGB131987
SRR33750947.180483__1.177682	UniClust90_ENBABIAF01560|6__12|SGB128778
SRR33750947.181684__1.178862	UniClust90_GHPINBAM01533|1__5|SGB84331
SRR33750947.182518__1.179686	UniClust90_IMMCPGKG00875|1__16|SGB128778
SRR33750947.184249__1.181398	UniClust90_EDNFDLAG02089|1__15|SGB84078
SRR33750947.184332__1.181481	UniClust90_DPLIHBNC00378|1__6|SGB89725
SRR33750947.184016__1.181167	UniClust90_EGCAKLJA00725|1__9|SGB128178
SRR33750947.187495__1.184592	UniClust90_DGAMNOFI00827|1__14|SGB155434
SRR33750947.188023__1.185111	UniClust90_GFFNGEKC01386|1__5|SGB56640
SRR33750947.188515__1.185596	UniClust90_DHFBAFBN01589|1__12|SGB133121
SRR33750947.188888__1.185961	UniClust90_OPLEJCPF04282|1__12|SGB125949
SRR33750947.189340__1.186409	UniClust90_OCJAPFEA01311|1__9|SGB125949
SRR33750947.189509__1.186578	UniClust90_DPJLILCC01895|1__7|SGB89725
SRR33750947.189379__1.186448	UniRef90_A0A1Q7BPJ2|1__6|SGB56640
SRR33750947.189832__1.186897	UniClust90_IDPAEINK02216|1__6|SGB89725
SRR33750947.189833__1.186898	UniClust90_IDPAEINK02216|1__6|SGB89725
SRR33750947.190378__1.187435	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750947.190645__1.187697	UniClust90_KIHGAKFE01201|1__11|SGB128778
SRR33750947.192216__1.189252	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750947.192951__1.189978	UniClust90_CHLBPEBB01238|1__4|SGB89725
SRR33750947.193782__1.190800	UniClust90_DPLIHBNC01508|1__5|SGB89725
SRR33750947.193586__1.190605	UniClust90_ALADKHLP00123|1__7|SGB89423
SRR33750947.195569__1.192558	UniClust90_CMJBJMEA00794|1__15|SGB133129
SRR33750947.196047__1.193031	UniClust90_NOHGIMHJ01003|1__3|SGB74789
SRR33750947.196123__1.193106	UniClust90_HMNCNLLJ01009|1__5|SGB133198
SRR33750947.196457__1.193436	UniClust90_ICLCAGBO00464|1__8|SGB131913
SRR33750947.196800__1.193776	UniClust90_GEHFPKBH00024|1__14|SGB84075
SRR33750947.198063__1.195021	UniClust90_NOMIGGEC00722|1__16|SGB125949
SRR33750947.198471__1.195425	UniClust90_DPLIHBNC01543|1__15|SGB89725
SRR33750947.200596__1.197519	UniClust90_DAODNPOA02225|1__8|SGB89725
SRR33750947.201828__1.198735	UniClust90_EHIAFBHG01587|1__9|SGB128778
SRR33750947.201843__1.198750	UniClust90_PKMOJOJK03136|1__3|SGB84078
SRR33750947.202356__1.199260	UniClust90_PKMOJOJK03136|1__3|SGB84078
SRR33750947.203123__1.200019	UniClust90_CGHAKFKK00814|1__6|SGB74789
SRR33750947.205554__1.202414	UniClust90_DPJLILCC02530|1__9|SGB89725
SRR33750947.205705__1.202564	UniClust90_IPBGJNGD03291|1__11|SGB89408
SRR33750947.205660__1.202520	UniClust90_NOMIGGEC01038|1__12|SGB125949
SRR33750947.206394__1.203243	UniClust90_KIHGAKFE01204|1__8|SGB128778
SRR33750947.206450__1.203299	UniClust90_DPLIHBNC01044|1__6|SGB89725
SRR33750947.206468__1.203317	UniClust90_IJHKGIGD01048|1__19|SGB128471
SRR33750947.206733__1.203576	UniClust90_KIMNEABG03484|1__9|SGB131913
SRR33750947.207300__1.204136	UniClust90_JMJHPHJK01990|1__9|SGB134112
SRR33750947.207927__1.204755	UniClust90_KPBPIMMN01462|1__8|SGB132736
SRR33750947.207953__1.204781	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.210064__1.206864	UniClust90_DJBDGBNB01292|2__8|SGB89725
SRR33750947.212661__1.209431	UniClust90_GEHENAAJ00966|1__9|SGB74789
SRR33750947.212931__1.209695	UniClust90_LJCEAEPL02806|1__14|SGB128753
SRR33750947.213314__1.210074	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750947.215132__1.211859	UniClust90_DJBDGBNB01993|1__5|SGB89725
SRR33750947.215961__1.212676	UniClust90_OCCAFAEL00099|1__5|SGB74789
