SRR33750935.444__1.436	UniClust90_ICLCAGBO00366|1__6|SGB131913
SRR33750935.95889__1.94085	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750935.95979__1.94175	UniClust90_DFAEICIF00566|1__12|SGB52719
SRR33750935.96370__1.94559	UniRef90_A0A2V5RLY8|1__8|SGB52719
SRR33750935.98287__1.96452	UniClust90_DPJLILCC02166|1__5|SGB89725
SRR33750935.98351__1.96513	UniClust90_DPJLILCC02166|1__5|SGB89725
SRR33750935.99197__1.97342	UniClust90_OJGLOKOM00757|1__6|SGB84075
SRR33750935.100244__1.98372	UniClust90_OJGLOKOM00757|1__6|SGB84075
SRR33750935.102340__1.100437	UniClust90_JMFJJCJA03494|1__9|SGB130007
SRR33750935.102419__1.100515	UniClust90_IABCABEO02227|1__8|SGB74789
SRR33750935.102790__1.100881	UniClust90_CHMIEHDJ02211|1__6|SGB56640
SRR33750935.102798__1.100889	UniClust90_CHMIEHDJ02211|1__6|SGB56640
SRR33750935.105127__1.103170	UniClust90_NOMIGGEC01377|1__10|SGB125949
SRR33750935.105979__1.104003	UniClust90_DCJCBMEC02453|1__5|SGB122526
SRR33750935.107006__1.105016	UniRef90_A0A1P8X6X2|1__12|SGB15745
SRR33750935.108031__1.106033	UniClust90_NOMIGGEC01921|1__15|SGB125949
SRR33750935.108465__1.106459	UniClust90_ACDABMLJ00871|1__7|SGB133090
SRR33750935.108195__1.106194	UniClust90_NOHGIMHJ01003|1__3|SGB74789
SRR33750935.108674__1.106663	UniClust90_ALPEOPJM01560|1__10|SGB84331
SRR33750935.108455__1.106449	UniClust90_ACDABMLJ00871|1__7|SGB133090
SRR33750935.109921__1.107896	UniClust90_KIMNEABG02648|1__8|SGB131913
SRR33750935.110270__1.108238	UniClust90_OOJDGJFL00115|1__7|SGB74789
SRR33750935.110589__1.108553	UniClust90_DAODNPOA00628|1__4|SGB89725
SRR33750935.112024__1.109970	UniClust90_CBNLCMFD00284|1__9|SGB74789
SRR33750935.111744__1.109693	UniRef90_A0A357CLP1|3__7|SGB133091
SRR33750935.113131__1.111054	UniClust90_BPBDKNDC02374|1__10|SGB174142
SRR33750935.113453__1.111375	UniClust90_MDGCCGDH03367|2__7|SGB56640
SRR33750935.115663__1.113550	UniClust90_DMCDKPDB02080|1__5|SGB89423
SRR33750935.116547__1.114416	UniClust90_CGHAKFKK00815|1__5|SGB74789
SRR33750935.116921__1.114786	UniClust90_DMCDKPDB02080|1__5|SGB89423
SRR33750935.117486__1.115338	UniClust90_GFHGLNMO00611|1__5|SGB133091
SRR33750935.118112__1.115956	UniClust90_OPLEJCPF02386|1__11|SGB125949
SRR33750935.118529__1.116366	UniClust90_NMMPJMDJ02949|1__3|SGB122683
SRR33750935.118601__1.116434	UniClust90_GFHGLNMO00611|1__5|SGB133091
SRR33750935.119581__1.117399	UniClust90_NJGLCGCL01165|7__14|SGB122683
SRR33750935.121075__1.118867	UniClust90_NMMPJMDJ02949|1__3|SGB122683
SRR33750935.121490__1.119276	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750935.120740__1.118536	UniClust90_CPDHIADM00671|1__4|SGB74789
SRR33750935.121562__1.119348	UniClust90_JBMBCDML01564|1__9|SGB89725
SRR33750935.122427__1.120203	UniClust90_IOFPBIHC03296|1__5|SGB130007
SRR33750935.123288__1.121052	UniClust90_IAFJOFII00031|1__9|SGB134112
SRR33750935.124852__1.122592	UniClust90_CJJELLGD00561|1__9|SGB84331
SRR33750935.125061__1.122797	UniRef90_A0A2V6JR47|1__7|SGB84331
SRR33750935.125209__1.122945	UniClust90_DGNDJLCE00228|1__7|SGB125699
SRR33750935.125758__1.123487	UniClust90_LJMOGHMP00225|1__14|SGB128778
SRR33750935.126659__1.124370	UniClust90_IOFPBIHC02803|1__9|SGB130007
SRR33750935.129863__1.127530	UniClust90_OCJAPFEA01948|1__11|SGB125949
SRR33750935.129728__1.127397	UniClust90_JMFJJCJA02353|1__8|SGB130007
SRR33750935.130604__1.128261	UniClust90_DHFBAFBN01609|1__8|SGB133121
SRR33750935.130748__1.128405	UniClust90_DHFBAFBN01609|1__8|SGB133121
SRR33750935.131021__1.128673	UniClust90_DIBLBONP00786|2__6|SGB84078
SRR33750935.131545__1.129192	UniClust90_DCOEIGHC00798|1__4|SGB89423
SRR33750935.133681__1.131297	UniClust90_HGAMACDH02083|1__7|SGB128778
SRR33750935.133696__1.131312	UniClust90_GMKONCKM01269|1__4|SGB89423
SRR33750935.134162__1.131774	UniClust90_ODALAGMH01641|1__9|SGB89423
SRR33750935.135533__1.133131	UniClust90_HGJNCPHJ04706|1__10|SGB125949
SRR33750935.135534__1.133132	UniClust90_PKMOJOJK01016|1__6|SGB84078
SRR33750935.136286__1.133875	UniClust90_NOMIGGEC01493|1__17|SGB125949
SRR33750935.137404__1.134974	UniClust90_CMHDMJOM04085|1__6|SGB56640
SRR33750935.138032__1.135585	UniClust90_IDPAEINK02538|1__6|SGB89725
SRR33750935.139483__1.137015	UniClust90_FNPCGKEP01519|1__5|SGB84078
SRR33750935.140434__1.137947	UniClust90_HFNDKKKP00452|1__8|SGB74789
SRR33750935.140686__1.138195	UniClust90_NOMIGGEC01433|1__12|SGB125949
SRR33750935.141333__1.138835	UniClust90_OJGLOKOM02223|1__4|SGB84075
SRR33750935.141729__1.139223	UniClust90_JCMEFMGF03781|1__15|SGB74780
SRR33750935.141524__1.139022	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750935.141869__1.139362	UniClust90_PEMFFBNE00406|1__4|SGB74789
SRR33750935.142483__1.139968	UniClust90_EAKADGJF03299|1__3|SGB131926
SRR33750935.142904__1.140385	UniClust90_IGKPANEM00713|1__18|SGB128987
SRR33750935.143279__1.140753	UniClust90_KIKAPEFO00235|1__4|SGB74789
SRR33750935.144020__1.141482	UniClust90_KMEALJDO01673|5__8|SGB84078
SRR33750935.144420__1.141876	UniClust90_ADGGMJFC00353|1__11|SGB74789
SRR33750935.147954__1.145367	UniClust90_LLIEHLNH01378|1__5|SGB130007
SRR33750935.147999__1.145409	UniClust90_FOJGPGMP00970|2__9|SGB133334
SRR33750935.148399__1.145803	UniClust90_KHMIFIIF02026|1__7|SGB129769
SRR33750935.149024__1.146422	UniRef90_A0A3D5DSW4|1__8|SGB130007
SRR33750935.149428__1.146820	UniClust90_KCJIFDDP00763|3__6|SGB128858
SRR33750935.149361__1.146753	UniClust90_DIBLBONP01702|3__13|SGB84078
SRR33750935.150099__1.147477	UniClust90_CMHDMJOM04887|1__5|SGB56640
SRR33750935.151950__1.149302	UniClust90_OPLEJCPF00147|1__22|SGB125949
SRR33750935.153550__1.150879	UniClust90_JMFJJCJA02397|1__12|SGB130007
SRR33750935.154652__1.151963	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750935.156188__1.153480	UniClust90_ANDLCEDJ01492|11__18|SGB133091
SRR33750935.156354__1.153643	UniClust90_GAEJHPDC02649|1__13|SGB128753
SRR33750935.156485__1.153772	UniRef90_A0A1Q7B621|1__9|SGB56640
SRR33750935.159816__1.157045	UniClust90_DPLIHBNC00433|8__12|SGB89725
SRR33750935.159951__1.157180	UniClust90_OCJAPFEA04909|1__14|SGB125949
SRR33750935.159867__1.157096	UniClust90_MEABCEIN01304|1__9|SGB84078
SRR33750935.159403__1.156639	UniClust90_EMAEKJAG00032|8__19|SGB128987
SRR33750935.160108__1.157334	UniClust90_OPLEJCPF00147|1__22|SGB125949
SRR33750935.160655__1.157870	UniClust90_ICJPFPDN00756|2__5|SGB74789
SRR33750935.160638__1.157853	UniClust90_IDPAEINK02474|3__6|SGB89725
SRR33750935.163531__1.160687	UniRef90_A0A0U1P4U2|1__14|SGB7574
SRR33750935.163296__1.160455	UniClust90_IABCABEO01996|1__7|SGB74789
SRR33750935.164171__1.161316	UniClust90_CKAHGCJD01011|1__5|SGB89423
SRR33750935.164959__1.162096	UniClust90_KIKAPEFO00372|1__4|SGB74789
SRR33750935.164521__1.161662	UniClust90_MDONDNCB00053|1__5|SGB74789
SRR33750935.165481__1.162609	UniClust90_HGAMACDH01061|3__9|SGB128778
SRR33750935.166247__1.163364	UniRef90_A0A1Q8BC56|4__17|SGB17587
SRR33750935.166457__1.163573	UniClust90_MKPDLIIB02181|4__8|SGB131913
SRR33750935.167059__1.164166	UniRef90_UPI0007A3F8DF|1__5|SGB207606
SRR33750935.167336__1.164434	UniClust90_OECKFAOL00951|1__9|SGB89423
SRR33750935.168180__1.165254	UniClust90_DPLIHBNC01510|1__8|SGB89725
SRR33750935.168632__1.165699	UniClust90_OCJAPFEA05580|1__8|SGB125949
SRR33750935.169459__1.166503	UniClust90_NECMKPAF04739|1__8|SGB89408
SRR33750935.169860__1.166898	UniClust90_NOMIGGEC01493|1__17|SGB125949
SRR33750935.169698__1.166737	UniClust90_EOFGAKMC00315|1__6|SGB84075
SRR33750935.171749__1.168748	UniClust90_OPFCPGGL00660|1__5|SGB89423
SRR33750935.172057__1.169053	UniClust90_OPFCPGGL00660|1__5|SGB89423
SRR33750935.173277__1.170249	UniClust90_JOMGGAEL00643|3__9|SGB74789
SRR33750935.174243__1.171207	UniClust90_GEHFPKBH00688|1__7|SGB84075
SRR33750935.175944__1.172882	UniClust90_PJKCPLGD01524|1__3|SGB89423
SRR33750935.176350__1.173282	UniClust90_DIBLBONP00723|1__7|SGB84078
SRR33750935.177677__1.174592	UniClust90_EJFOFLBH02108|1__7|SGB133091
SRR33750935.177659__1.174574	UniClust90_JKONEDMA00955|1__6|SGB130007
SRR33750935.177686__1.174601	UniClust90_CKDECKMG02632|1__7|SGB133121
SRR33750935.177024__1.173943	UniClust90_JMFJJCJA04124|1__5|SGB130007
SRR33750935.181144__1.178020	UniClust90_KIHGAKFE01204|1__8|SGB128778
SRR33750935.181898__1.178763	UniClust90_KIHGAKFE01855|1__23|SGB128778
SRR33750935.182353__1.179213	UniClust90_JMFJJCJA01738|3__10|SGB130007
SRR33750935.182270__1.179130	UniClust90_BOKHIPMC01022|1__5|SGB130007
SRR33750935.183676__1.180521	UniClust90_AMDOLPBA02486|1__11|SGB73712
SRR33750935.183642__1.180487	UniClust90_NHHHKJJE00160|1__13|SGB125949
SRR33750935.183647__1.180492	UniClust90_HGJNCPHJ04583|1__12|SGB125949
SRR33750935.183894__1.180737	UniClust90_EDNFDLAG01345|1__11|SGB84078
SRR33750935.184572__1.181399	UniClust90_EBGAMEMI01687|1__8|SGB133121
SRR33750935.186635__1.183428	UniClust90_KIHGAKFE00925|1__9|SGB128778
SRR33750935.187001__1.183788	UniClust90_DJBDGBNB01635|1__6|SGB89725
SRR33750935.189752__1.186498	UniClust90_ENBABIAF00671|1__11|SGB128778
SRR33750935.190437__1.187175	UniClust90_BGNCHAGG01319|1__11|SGB34142
SRR33750935.191708__1.188433	UniClust90_OCJAPFEA05893|1__11|SGB125949
SRR33750935.192329__1.189045	UniRef90_A0A2V5RKW5|1__5|SGB52719
SRR33750935.193515__1.190222	UniClust90_PJKCPLGD00328|1__5|SGB89423
SRR33750935.194203__1.190904	UniClust90_OFJJKHAK01406|1__3|SGB84078
SRR33750935.194454__1.191153	UniClust90_NOMIGGEC00176|1__12|SGB125949
SRR33750935.195372__1.192064	UniClust90_OFJJKHAK00488|1__5|SGB84078
SRR33750935.197741__1.194401	UniClust90_FIKNLCLL04219|1__10|SGB134825
SRR33750935.197746__1.194406	UniClust90_IFHFCMJI00883|1__7|SGB125699
SRR33750935.197870__1.194529	UniClust90_HGAMACDH01061|3__9|SGB128778
SRR33750935.199102__1.195752	UniClust90_GIMAHFHH05060|1__10|SGB89408
SRR33750935.199120__1.195770	UniClust90_DEHNPGMG00163|1__7|SGB89423
SRR33750935.200504__1.197128	UniClust90_EHFFKAJJ03723|1__12|SGB74780
SRR33750935.200903__1.197517	UniClust90_DEFNONOM00153|1__6|SGB56640
SRR33750935.201362__1.197973	UniClust90_LDOGOBHG00757|1__20|SGB125634
SRR33750935.201526__1.198134	UniClust90_EDBNNBOB00993|1__7|SGB56640
SRR33750935.202211__1.198806	UniClust90_EJAHAFID00409|1__6|SGB130007
SRR33750935.203776__1.200344	UniRef90_A0A0R3MAL0|1__7|SGB11343
SRR33750935.204380__1.200940	UniClust90_AMOFFOJE01526|1__7|SGB133121
SRR33750935.203959__1.200525	UniRef90_A0A1Q7BFB1|1__5|SGB56640
SRR33750935.205192__1.201743	UniClust90_GMGIGFBN01707|1__10|SGB128987
SRR33750935.205128__1.201679	UniRef90_A0A2V5R4I1|1__7|SGB52719
SRR33750935.206007__1.202548	UniClust90_FNPCGKEP05217|4__9|SGB84078
SRR33750935.205931__1.202473	UniClust90_FNPCGKEP01967|1__7|SGB84078
SRR33750935.207285__1.203810	UniClust90_EDBNNBOB00993|1__7|SGB56640
SRR33750935.207034__1.203563	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750935.208596__1.205098	UniRef90_UPI000684EA22|1__6|SGB31987
SRR33750935.209566__1.206050	UniRef90_A0A2V5KTQ2|1__11|SGB52719
SRR33750935.210359__1.206837	UniRef90_UPI000684EA22|1__6|SGB31987
SRR33750935.211218__1.207684	UniClust90_BHLGKCAN05823|1__4|SGB56640
SRR33750935.211754__1.208216	UniRef90_UPI00102E3E08|1__14|SGB31989
SRR33750935.212280__1.208730	UniClust90_CBNLCMFD01479|1__7|SGB74789
SRR33750935.213108__1.209542	UniClust90_JKONEDMA00373|1__6|SGB130007
SRR33750935.212493__1.208941	UniClust90_BOKHIPMC05974|1__10|SGB130007
SRR33750935.213952__1.210376	UniClust90_HGFGGOBL01609|1__5|SGB84331
SRR33750935.215249__1.211657	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750935.215476__1.211883	UniClust90_OCJAPFEA05578|1__10|SGB125949
SRR33750935.216363__1.212757	UniClust90_AOMEFECO00986|1__9|SGB133090
SRR33750935.216928__1.213318	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750935.218136__1.214510	UniRef90_A0A2V5RTK1|1__5|SGB52719
SRR33750935.220839__1.217178	UniRef90_A0A2V8KBD9|1__9|SGB17587
SRR33750935.220850__1.217189	UniRef90_A0A2V8KBD9|1__9|SGB17587
SRR33750935.221588__1.217921	UniClust90_FNPCGKEP04478|1__6|SGB84078
SRR33750935.222413__1.218736	UniClust90_NOMIGGEC00876|1__9|SGB125949
SRR33750935.223234__1.219547	UniRef90_UPI0009DD9D61|1__11|SGB31998
SRR33750935.224712__1.221011	UniClust90_HGFGGOBL01224|1__11|SGB84331
SRR33750935.225032__1.221328	UniClust90_EJFOFLBH00638|1__12|SGB133091
SRR33750935.227744__1.223999	UniClust90_PKMOJOJK03224|1__5|SGB84078
SRR33750935.228440__1.224690	UniClust90_OCJAPFEA03769|1__15|SGB125949
SRR33750935.228452__1.224702	UniClust90_FNPCGKEP00283|1__5|SGB84078
SRR33750935.231518__1.227729	UniClust90_HDGMGAGN01775|1__5|SGB74789
SRR33750935.231947__1.228152	UniClust90_CGHAKFKK00585|6__10|SGB74789
SRR33750935.233432__1.229624	UniRef90_A0A2V6K256|1__6|SGB52719
SRR33750935.233416__1.229608	UniClust90_NKFDNCBD00167|1__17|SGB135184
SRR33750935.235321__1.231495	UniClust90_OLPPFLML00126|1__5|SGB74789
SRR33750935.235323__1.231497	UniClust90_ODIECPCH02867|1__5|SGB89410
SRR33750935.236033__1.232199	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750935.236172__1.232338	UniClust90_NHHHKJJE01449|1__10|SGB125949
SRR33750935.235765__1.231934	UniClust90_OPLEJCPF03224|1__11|SGB125949
SRR33750935.236514__1.232676	UniClust90_FKAEHBFM00381|1__8|SGB74789
SRR33750935.236598__1.232760	UniClust90_OJGLOKOM00925|1__10|SGB84075
SRR33750935.236579__1.232741	UniClust90_CLKGBKMO01075|1__4|SGB56638
SRR33750935.237754__1.233903	UniClust90_DIBLBONP00999|4__7|SGB84078
SRR33750935.238108__1.234254	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750935.238993__1.235126	UniClust90_CMHDMJOM03877|1__8|SGB56640
SRR33750935.240887__1.236998	UniClust90_JMFJJCJA05536|1__5|SGB130007
SRR33750935.240862__1.236974	UniRef90_A0A3D5DS77|2__6|SGB130007
SRR33750935.241701__1.237804	UniClust90_OFEPGLCJ02738|1__11|SGB132218
SRR33750935.243895__1.239989	UniRef90_A0A101SMK0|1__6|SGB16251
SRR33750935.244305__1.240397	UniClust90_FNPCGKEP03897|2__6|SGB84078
SRR33750935.244125__1.240218	UniClust90_IBNNDEFK01224|2__9|SGB89408
SRR33750935.244822__1.240910	UniClust90_DPJLILCC00590|1__24|SGB89725
SRR33750935.245293__1.241374	UniClust90_JMFJJCJA02397|1__12|SGB130007
SRR33750935.246026__1.242096	UniClust90_JMFJJCJA02397|1__12|SGB130007
SRR33750935.246577__1.242638	UniClust90_JMFJJCJA02397|1__12|SGB130007
SRR33750935.247223__1.243275	UniClust90_OCJAPFEA03243|1__10|SGB125949
SRR33750935.247159__1.243212	UniClust90_DEFNONOM00486|1__5|SGB56640
SRR33750935.247385__1.243433	UniClust90_ICLCAGBO01454|1__6|SGB131913
SRR33750935.249173__1.245195	UniClust90_HGJNCPHJ04950|1__20|SGB125949
SRR33750935.251516__1.247504	UniClust90_KIMNEABG02890|1__5|SGB131913
SRR33750935.251401__1.247390	UniClust90_DANEOINA01489|1__22|SGB128178
